ID,Name,$R_{x}$,$R_{y}$,$R_{z}$,"$R_{x,z}$","$R_{y,z}$","$R_{x,y,z}$","$R_{x,y,z}HF_{x}$","$R_{x,y,z}HF_{y}$","$R_{x,y,z}HF_{z}$","$R_{x,y,z}HF_{x,y}$","$R_{x,y,z}HF_{x,z}$","$R_{x,y,z}HF_{x,y,z}$","$R_{x,y,z}HF_{x,y,z}T_{yz}$","$R_{x,y,z}HF_{x,y,z}T_{xz}$","$R_{x,y,z}HF_{x,y,z}T_{xy}$","$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$"
0,$R_{x}$,,5.508199124455121e-38,4.6370813666297164e-132,,,,,,,,,,,,,,,
1,$R_{y}$,1.8154753984114934e+37,,6.194842401564541e-101,,,,,,,,,,,,,,,
2,$R_{z}$,2.156528904574326e+131,1.614246069839395e+100,,,2.1242319165625788e-27,,,,,,,,,,,,,
3,"$R_{x,z}$",,,,,5.665036507974147e-66,,,,,,,,,,,,,
4,"$R_{y,z}$",,,4.707583913992757e+26,1.7652136903131914e+65,,1.2041025519297102e+33,,,,,,1e-160,,1e-160,,,,
5,"$R_{x,y,z}$",,,,,8.304940458745703e-34,,1.7308577537480678e-123,,,,,,,,,,,
6,"$R_{x,y,z}HF_{x}$",,,,,,5.777482279144895e+122,,3.445127622766683e+48,1448387.5986821526,3.8779390550265514e-54,,,,,,,,
7,"$R_{x,y,z}HF_{y}$",,,,,,,2.902650088756157e-49,,1.6423999695902448e-43,,,,,,,,,
8,"$R_{x,y,z}HF_{z}$",,,,,,,6.904229233320363e-07,6.08865086772673e+42,,,,,,,,,,
9,"$R_{x,y,z}HF_{x,y}$",,,,,,,2.5786893136028238e+53,,,,4.137415205066908e+16,7.576775672070112e-28,,,,,,
10,"$R_{x,y,z}HF_{x,z}$",,,,,,,,,,2.416967962933342e-17,,,,,,,,
11,"$R_{x,y,z}HF_{x,y,z}$",,,,,1e+160,,,,,1.319822630734931e+27,,,,0.04727578752906492,,,,
12,"$R_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,2.051806663260197e-23,1.6172833961262568e-15,,,
13,"$R_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,1e+160,,,,,,,21.15247682305038,4.873753545624325e+22,,5.78657731523606e+21,146560401204.47266,,
14,"$R_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,618320822680314.5,1.7281372830999763e-22,,,,
15,"$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,6.823125426661854e-12,,,69700261890498.43,108613.66068716845
16,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,1.4347148387634974e-14,,
17,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,9.20694499820076e-06,,
