ID,Name,$R_{x}$,$R_{y}$,$R_{z}$,"$R_{x,z}$","$R_{y,z}$","$R_{x,y,z}$","$R_{x,y,z}HF_{x}$","$R_{x,y,z}HF_{y}$","$R_{x,y,z}HF_{z}$","$R_{x,y,z}HF_{x,y}$","$R_{x,y,z}HF_{x,z}$","$R_{x,y,z}HF_{x,y,z}$","$R_{x,y,z}HF_{x,y,z}T_{xz}$","$R_{x,y,z}HF_{x,y,z}T_{yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy}$","$R_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$"
0,$R_{x}$,,1.906914768755554e-20,8.876584736733254e-113,,,,,,,,,,,,,,,
1,$R_{y}$,5.244072867780014e+19,,1e-160,,,,,,,,,,,,,,,
2,$R_{z}$,1.126559402809259e+112,1e+160,,,3.5056527366154407e+22,,,,,,,,,,2.11491867746584e-152,,,
3,"$R_{x,z}$",,,,,7.974619237504796e-29,,,,,,,,,,,,,
4,"$R_{y,z}$",,,2.8525358189512455e-23,1.2539783658848307e+28,,1.8023469650229755e+18,,,,,,,,,,,,
5,"$R_{x,y,z}$",,,,,5.548321268914238e-19,,1.7289043657325802e-154,,,,,,,,,,,
6,"$R_{x,y,z}HF_{x}$",,,,,,5.784009918768843e+153,,1.0874606047087403e+56,2018658826901424.2,1.9412678049791027e-29,,,,,,,,
7,"$R_{x,y,z}HF_{y}$",,,,,,,9.195735419471445e-57,,3.522281145201978e-44,,,,,,,,,
8,"$R_{x,y,z}HF_{z}$",,,,,,,4.95378409998567e-16,2.8390692246761494e+43,,,,,,,,,,
9,"$R_{x,y,z}HF_{x,y}$",,,,,,,5.151272778722896e+28,,,,1.9385679683281348e+16,7.691450844638626e-29,,,,,,
10,"$R_{x,y,z}HF_{x,z}$",,,,,,,,,,5.158446937831242e-17,,,,,,,,
11,"$R_{x,y,z}HF_{x,y,z}$",,,,,,,,,,1.3001448233879779e+28,,,,,1.4866998138204052e-14,,,
12,"$R_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,,5.558124601517798e+26,0.0028204357206827934,,,
13,"$R_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,1.799168013842156e-27,,1.3405253186830253e-12,,,
14,"$R_{x,y,z}HF_{x,y,z}T_{xy}$",,,4.7283141931406576e+151,,,,,,,,,67263074273903.22,354.5551464501776,745976212506.3269,,419791802.06962174,,
15,"$R_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,2.382133226684955e-09,,4.468016145306404,5.6224469506062705e+19
16,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,0.22381297817164061,,
17,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,1.7785850338564237e-20,,
