ID,Name,$R_{x}$,$R_{y}$,$R_{z}$,"$R_{x,z}$","$R_{y,z}$","$R_{x,y,z}$","$R_{x,y,z}HF_{x}$","$R_{x,y,z}HF_{y}$","$R_{x,y,z}HF_{z}$","$R_{x,y,z}HF_{x,y}$","$R_{x,y,z}HF_{x,z}$","$R_{x,y,z}HF_{x,y,z}$","$R_{x,y,z}HF_{x,y,z}T_{xz}$","$R_{x,y,z}HF_{x,y,z}T_{xy}$","$R_{x,y,z}HF_{x,y,z}T_{yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$"
0,$R_{x}$,,66695661682.66323,6.1685188180958645e-12,,,,,,,,,,,,,,,
1,$R_{y}$,1.4993478957566717e-11,,8.049457638096649e-54,,,,,,,,,,,,,,,
2,$R_{z}$,162113471562.4789,1.2423197250795857e+53,,73518.98163160398,,,,,,,,1e-160,,,,,1.2809685535691267e-150,
3,"$R_{x,z}$",,,1.3601929431107964e-05,,21740319239.130802,4.5819908881654456e-73,,,,,,,,,,,,
4,"$R_{y,z}$",,,,4.5997484627552363e-11,,,,,,,,,,,,,,
5,"$R_{x,y,z}$",,,,2.182457417326693e+72,,,2.114090526817675e-94,,,,,,,,,,,
6,"$R_{x,y,z}HF_{x}$",,,,,,4.730166411110563e+93,,1.0799680585448152e+37,2.9153271358386838e+20,2.001351800440643e-43,,,,,,,,
7,"$R_{x,y,z}HF_{y}$",,,,,,,9.259533113853692e-38,,2.32006512171597e+25,,,,,,,,,
8,"$R_{x,y,z}HF_{z}$",,,,,,,3.430146784238398e-21,4.310223840873822e-26,,,,,,,,,,
9,"$R_{x,y,z}HF_{x,y}$",,,,,,,4.9966227815610795e+42,,,,3.1941040132087535e+23,3.961636674119129e-23,,,,,,
10,"$R_{x,y,z}HF_{x,z}$",,,,,,,,,,3.130768427905432e-24,,,,,,,,
11,"$R_{x,y,z}HF_{x,y,z}$",,,1e+160,,,,,,,2.5242092656625313e+22,,,,,0.0005736876517014436,,241428113034843.3,
12,"$R_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,,7.721331103388396e+20,8.43941605602532e-09,,,
13,"$R_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,1.2951134805774153e-21,,0.0004700100693020907,,,
14,"$R_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,1743.108810228351,118491610.48127851,2127.6139923659116,,,6.877458321243313e-08,
15,"$R_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,,3.278971474580736e-10,
16,"$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,7.806592887965345e+149,,,,,,,,,4.142019698657373e-15,,,14540255.328209959,3049736808.4846315,,1.0939015358611314e+27
17,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,,9.141590602236324e-28,
