ID,Name,$R_{x}$,$R_{y}$,$R_{z}$,"$R_{x,z}$","$R_{y,z}$","$R_{x,y,z}$","$R_{x,y,z}HF_{x}$","$R_{x,y,z}HF_{y}$","$R_{x,y,z}HF_{z}$","$R_{x,y,z}HF_{x,y}$","$R_{x,y,z}HF_{x,z}$","$R_{x,y,z}HF_{x,y,z}$","$R_{x,y,z}HF_{x,y,z}T_{yz}$","$R_{x,y,z}HF_{x,y,z}T_{xz}$","$R_{x,y,z}HF_{x,y,z}T_{xy}$","$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$"
0,$R_{x}$,,1.0659386140903173e+17,2.358177470985609e-54,,,,,,,,,,,,,,,
1,$R_{y}$,9.381403270144314e-18,,9.355341940794738e-71,,,,,,,,,,,,,,,
2,$R_{z}$,4.240562944493089e+53,1.068908016755024e+70,,1.313252324393846e-67,,,,,,,,,,,,,,
3,"$R_{x,z}$",,,7.614682886333874e+66,,5.883304664946339e+19,1.8707355348430923e-22,,,,,,,,,,,,
4,"$R_{y,z}$",,,,1.699724996324189e-20,,,,,,,,,,,,,,
5,"$R_{x,y,z}$",,,,5.345491018771261e+21,,,1.0144632946624437e-133,,,,,,,,,,,
6,"$R_{x,y,z}HF_{x}$",,,,,,9.857429098336611e+132,,1.402742918545596e+88,1.0904367251950936e+27,5.787532823970865e-47,,,,,,,,
7,"$R_{x,y,z}HF_{y}$",,,,,,,7.128890025243033e-89,,3.8998204106053744e-39,,,,,,,,,
8,"$R_{x,y,z}HF_{z}$",,,,,,,9.17063757020002e-28,2.5642206427776724e+38,,,,,,,,,,
9,"$R_{x,y,z}HF_{x,y}$",,,,,,,1.7278519714967134e+46,,,,6.3014240386311e+23,3.3427689013106377e-47,,,,,,
10,"$R_{x,y,z}HF_{x,z}$",,,,,,,,,,1.5869428781009898e-24,,,,,,,,
11,"$R_{x,y,z}HF_{x,y,z}$",,,,,,,,,,2.9915319590532226e+46,,,525875.659611163,,,,1021826910353.9734,
12,"$R_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,1.9015901986020968e-06,,7227.468679071908,14966.462501438229,,485.02462680056686,
13,"$R_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,0.00013836102851550673,,34251.009741712136,,,
14,"$R_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,6.681605622597211e-05,2.9196219543336947e-05,,,,
15,"$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,,0.0006801645605962784,
16,"$R_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,9.786393271376928e-13,0.0020617509807624294,,,1470.2324377549635,,2.793998838825895e+27
17,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,,3.579099554745069e-28,
