ID,Name,$R_{x}$,$R_{y}$,$R_{z}$,"$R_{x,z}$","$R_{y,z}$","$R_{x,y,z}$","$R_{x,y,z}HF_{x}$","$R_{x,y,z}HF_{y}$","$R_{x,y,z}HF_{z}$","$R_{x,y,z}HF_{x,y}$","$R_{x,y,z}HF_{x,z}$","$R_{x,y,z}HF_{x,y,z}$","$R_{x,y,z}HF_{x,y,z}T_{xy}$","$R_{x,y,z}HF_{x,y,z}T_{xz}$","$R_{x,y,z}HF_{x,y,z}T_{yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$"
0,$R_{x}$,,2.8156591058632003e-16,6.776995291297284e-90,,,,,,,,,,,,,,,
1,$R_{y}$,3551566302602632.5,,4.564964610757416e-92,,,,,,,,,,,,,,,
2,$R_{z}$,1.4755801900646966e+89,2.190597485999088e+91,,0.15899591340425645,,,,,,,,7.923922389617746e-156,,,,,3.9663420148338224e-135,
3,"$R_{x,z}$",,,6.2894698271737415,,12206430.522598587,1.963244641123792e-59,,,,,,,,,,,,
4,"$R_{y,z}$",,,,8.192403161175027e-08,,,,,,,,,,,,,,
5,"$R_{x,y,z}$",,,,5.093608708019111e+58,,,4.194080082657876e-108,,,,,,,,,,,
6,"$R_{x,y,z}HF_{x}$",,,,,,2.3843130800837718e+107,,8.197072246532656e+37,1130.5258630672633,5.175590489288909e-45,,,,,,,,
7,"$R_{x,y,z}HF_{y}$",,,,,,,1.219947769062299e-38,,1.5025821779171219e-52,,,,,,,,,
8,"$R_{x,y,z}HF_{z}$",,,,,,,0.0008845441158567308,6.655210042396477e+51,,,,,,,,,,
9,"$R_{x,y,z}HF_{x,y}$",,,,,,,1.9321466836867017e+44,,,,2.106103316187264e+39,4.6032356611033e-35,,,,,,
10,"$R_{x,y,z}HF_{x,z}$",,,,,,,,,,4.74810514904049e-40,,,,,,,,
11,"$R_{x,y,z}HF_{x,y,z}$",,,1.2620012549722114e+155,,,,,,,2.172384977918599e+34,,,59496.69803067116,,,,18.33014521716751,
12,"$R_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,1.6807655434667813e-05,,17641874312.545673,200.0255968330059,,2.4108098526391875e-17,
13,"$R_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,5.66833195999401e-11,,2.518789087843982e-07,,,
14,"$R_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,0.004999360161064104,3970161.713126898,,,,
15,"$R_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,,2.5126322818015507e-10,
16,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,2.521214752182426e+134,,,,,,,,,0.05455494149950474,4.1479837113875624e+16,,,3979889963.3773813,,1.4511048928449026e+24
17,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,,6.891300587096031e-25,
