ID,Name,$R_{x}$,$R_{y}$,$R_{z}$,"$R_{x,z}$","$R_{y,z}$","$R_{x,y,z}$","$R_{x,y,z}HF_{x}$","$R_{x,y,z}HF_{y}$","$R_{x,y,z}HF_{z}$","$R_{x,y,z}HF_{x,y}$","$R_{x,y,z}HF_{x,z}$","$R_{x,y,z}HF_{x,y,z}$","$R_{x,y,z}HF_{x,y,z}T_{yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy}$","$R_{x,y,z}HF_{x,y,z}T_{xz}$","$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$"
0,$R_{x}$,,1.1355517197892311e-23,4.90117503417251e-98,,,,,,,,,,,,,,,
1,$R_{y}$,8.806291977485703e+22,,1.4345812117553297e-77,,,,,,,,,,,,,,,
2,$R_{z}$,2.040327050202636e+97,6.970675426429269e+76,,4.069926903711046e-30,,,,,,,,,,,,,,
3,"$R_{x,z}$",,,2.4570465850091278e+29,,64397.27178887039,3.2442687050752416e-13,,,,,,,,,,,,
4,"$R_{y,z}$",,,,1.552860815716773e-05,,,,,,,,,,,,,,
5,"$R_{x,y,z}$",,,,3082358740617.349,,,1e-160,,,,,,,,,,,
6,"$R_{x,y,z}HF_{x}$",,,,,,1e+160,,1.2214245980241078e+30,6.1668416765286705e+28,9.875666728244286e-41,,,,,,,,
7,"$R_{x,y,z}HF_{y}$",,,,,,,8.18716113641149e-31,,3.4407595957333603e-18,,,,,,,,,
8,"$R_{x,y,z}HF_{z}$",,,,,,,1.6215756013423427e-29,2.9063349884718144e+17,,,,,,,,,,
9,"$R_{x,y,z}HF_{x,y}$",,,,,,,1.0125898610369385e+40,,,,6.381307745870611e+32,8.806826060054566e-40,,,,,,
10,"$R_{x,y,z}HF_{x,z}$",,,,,,,,,,1.5670769062142584e-33,,,,,,,,
11,"$R_{x,y,z}HF_{x,y,z}$",,,,,,,,,,1.1354828552090242e+39,,,,,3.620129213732135e-13,,,
12,"$R_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,352369407696.6561,0.12890915208399104,,,
13,"$R_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,2.837930813962343e-12,,3.9200739261422385e-09,,,
14,"$R_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,2762332339427.9077,7.757401114146247,255097230.0117065,,,6.193938427233526e+18,18198883186732.5
15,"$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,,1.8595447701838818e-09,
16,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,1.6144816609787357e-19,537766025.3380803,,17588.727777856002
17,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,5.49484267654967e-14,,5.685459531979272e-05,
