ID,Name,$R_{x}$,$R_{y}$,$R_{z}$,"$R_{x,z}$","$R_{y,z}$","$R_{x,y,z}$","$R_{x,y,z}HF_{x}$","$R_{x,y,z}HF_{y}$","$R_{x,y,z}HF_{z}$","$R_{x,y,z}HF_{x,y}$","$R_{x,y,z}HF_{x,z}$","$R_{x,y,z}HF_{x,y,z}$","$R_{x,y,z}HF_{x,y,z}T_{yz}$","$R_{x,y,z}HF_{x,y,z}T_{xz}$","$R_{x,y,z}HF_{x,y,z}T_{xy}$","$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$"
0,$R_{x}$,,4.102984062266283e-42,1e-160,,,,,,,,,,,,,,,
1,$R_{y}$,2.4372505104191167e+41,,2.4923057186354933e-135,,,,,,,,,,,,,,,
2,$R_{z}$,1e+160,4.012348856413521e+134,,,1.2666791046139837e-25,,,,,,,,,,,,,
3,"$R_{x,z}$",,,,,0.00037923260032841,,,,,,,,,,,,,
4,"$R_{y,z}$",,,7.894659321034167e+24,2636.9041035343857,,6.1024926568336894e-40,,,,,,,,,,,,
5,"$R_{x,y,z}$",,,,,1.63867464695788e+39,,5.123793094189119e-122,,,,,,,,,,,
6,"$R_{x,y,z}HF_{x}$",,,,,,1.9516791205603083e+121,,2.023962207330827e+33,1.5668216520006734e+21,1.417600807505531e-31,,,,,,,,
7,"$R_{x,y,z}HF_{y}$",,,,,,,4.940803718458686e-34,,345274844978494.4,,,,,,,,,
8,"$R_{x,y,z}HF_{z}$",,,,,,,6.382347338148543e-22,2.896243426196558e-15,,,,,,,,,,
9,"$R_{x,y,z}HF_{x,y}$",,,,,,,7.054172053976474e+30,,,,4018158560319.096,8.765934239723501e-48,,,,,,
10,"$R_{x,y,z}HF_{x,z}$",,,,,,,,,,2.488702187801634e-13,,,,,,,,
11,"$R_{x,y,z}HF_{x,y,z}$",,,,,,,,,,1.1407797191409713e+47,,,,518449436.9119211,,,,
12,"$R_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,4.438590719288432e-12,284.29980389964976,,,
13,"$R_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,1.928828404089653e-09,225296735663.0516,,1.1252808985164442e+16,,45770090476.0022,
14,"$R_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,0.003517413611558358,8.886669997850199e-17,,,,
15,"$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,,0.0013674353208743466,
16,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,2.184832910750552e-11,,731.2960143230715,,2.2651416796841676e+27
17,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,,4.414734888192211e-28,
