ID,Name,$R_{x}$,$R_{y}$,$R_{z}$,"$R_{x,z}$","$R_{y,z}$","$R_{x,y,z}$","$R_{x,y,z}HF_{x}$","$R_{x,y,z}HF_{y}$","$R_{x,y,z}HF_{z}$","$R_{x,y,z}HF_{x,y}$","$R_{x,y,z}HF_{x,z}$","$R_{x,y,z}HF_{x,y,z}$","$R_{x,y,z}HF_{x,y,z}T_{xz}$","$R_{x,y,z}HF_{x,y,z}T_{yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$"
0,$R_{x}$,,2.4001803011446787e-34,1e-160,,,,,,,,,,,,,,,
1,$R_{y}$,4.166353667360266e+33,,2.370485731489919e-86,,,,,,,,,,,,,,,
2,$R_{z}$,1e+160,4.218544691983744e+85,,,3.070576773808805e-37,,,,,,,,,,,,,
3,"$R_{x,z}$",,,,,1.0885870081852304e-85,,,,,,,,,,,,,
4,"$R_{y,z}$",,,3.256717137085551e+36,9.18622023302563e+84,,1.796405764243513e-25,,,,,,,,,,,,
5,"$R_{x,y,z}$",,,,,5.566671071227114e+24,,1e-160,,,,,,,,,,,
6,"$R_{x,y,z}HF_{x}$",,,,,,1e+160,,5.1110582170140975e+54,4.826089862606739e+41,2.937666666188567e-05,,4.7302153290340046e-52,9.230045571198141e-42,,,,1.828944437226143e-28,
7,"$R_{x,y,z}HF_{y}$",,,,,,,1.9565419870803277e-55,,1.4104670109633622e-22,,,,,,,,,
8,"$R_{x,y,z}HF_{z}$",,,,,,,2.0720708243502643e-42,7.089850327778958e+21,,,,,,,,,,
9,"$R_{x,y,z}HF_{x,y}$",,,,,,,34040.62181423175,,,,3.882910800743725e+32,3.0317260697393776e-42,,,,,,
10,"$R_{x,y,z}HF_{x,z}$",,,,,,,,,,2.575387515490858e-33,,,,,,,,
11,"$R_{x,y,z}HF_{x,y,z}$",,,,,,,2.114068663770996e+51,,,3.2984510374512993e+41,,,45.42422430907754,,,,7.368174739782811e+18,
12,"$R_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,1.0834182694833555e+41,,,,,0.02201468523041264,,15219308938.688002,1.0534218966141458e+17,,8818.351277173442,
13,"$R_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,6.570600570818074e-11,,61481644377.922264,,,
14,"$R_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,9.492872734221192e-18,1.6265017146468756e-11,,,,
15,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,,0.0012106880598357214,
16,"$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,5.467634662082155e+27,,,,,1.3571882254647461e-19,0.00011339988265023292,,,825.9765939507905,,63527325507.43053
17,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,,1.574125767159888e-11,
