ID,Name,$R_{x}$,$R_{y}$,$R_{z}$,"$R_{x,z}$","$R_{y,z}$","$R_{x,y,z}$","$R_{x,y,z}HF_{x}$","$R_{x,y,z}HF_{y}$","$R_{x,y,z}HF_{z}$","$R_{x,y,z}HF_{x,y}$","$R_{x,y,z}HF_{x,z}$","$R_{x,y,z}HF_{x,y,z}$","$R_{x,y,z}HF_{x,y,z}T_{yz}$","$R_{x,y,z}HF_{x,y,z}T_{xz}$","$R_{x,y,z}HF_{x,y,z}T_{xy}$","$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$"
0,$R_{x}$,,6.48331066361209e-05,9.288218160415672e-71,,,,,,,,,,,,,,,
1,$R_{y}$,15424.218456976785,,3.8367025701989406e-45,,,,,,,,,,,,,,,
2,$R_{z}$,1.0766327650030643e+70,2.606404801267011e+44,,1.992609177884373e-40,,,,,,,,,,,,,,
3,"$R_{x,z}$",,,5.018545588863226e+39,,4.391460494660773e+67,4.922198813266249e+22,,,,,,1e-160,,,,,,
4,"$R_{y,z}$",,,,2.277146751555252e-68,,,,,,,,,,,,,,
5,"$R_{x,y,z}$",,,,2.031612370684444e-23,,,2.3856150608603626e-137,,,,,,,,,,,
6,"$R_{x,y,z}HF_{x}$",,,,,,4.1917911083247186e+136,,1.7016525712552826e+54,3.1484545894699932e+16,1.5097046730415536e-32,,,,,,,,
7,"$R_{x,y,z}HF_{y}$",,,,,,,5.876640254845415e-55,,1.9629396475993578e-16,,,,,,,,,
8,"$R_{x,y,z}HF_{z}$",,,,,,,3.176161420096387e-17,5094400132082426.0,,,,,,,,,,
9,"$R_{x,y,z}HF_{x,y}$",,,,,,,6.623812046533128e+31,,,,2560057843542.4937,9.840629823343395e-32,,,,,,
10,"$R_{x,y,z}HF_{x,z}$",,,,,,,,,,3.9061617397528985e-13,,,,,,,,
11,"$R_{x,y,z}HF_{x,y,z}$",,,,1e+160,,,,,,1.016195119572383e+31,,,,8.756291895155555e+17,,,,
12,"$R_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,1.0639919839200855e-05,2.89595494885452,,,
13,"$R_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,1.1420359348153446e-18,93985.670485569,,82.28653218955021,22916309970.70565,,
14,"$R_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,0.3453092391494366,0.012152656982754617,,,,
15,"$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,4.3637042843211614e-11,,,574862857533.4274,336725739.25798863
16,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,1.7395453313694938e-12,,
17,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,2.9697759434832854e-09,,
