ID,Name,$R_{x}$,$R_{y}$,$R_{z}$,"$R_{x,z}$","$R_{y,z}$","$R_{x,y,z}$","$R_{x,y,z}HF_{x}$","$R_{x,y,z}HF_{y}$","$R_{x,y,z}HF_{z}$","$R_{x,y,z}HF_{x,y}$","$R_{x,y,z}HF_{x,z}$","$R_{x,y,z}HF_{x,y,z}$","$R_{x,y,z}HF_{x,y,z}T_{yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy}$","$R_{x,y,z}HF_{x,y,z}T_{xz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$"
0,$R_{x}$,,1.578739501004185e+41,2.3156421625232048e-123,,,,,,,,,,,,,,,
1,$R_{y}$,6.334167222419737e-42,,2.1122351559176406e-69,,,,,,,,,,,,,,,
2,$R_{z}$,4.318456522273566e+122,4.734321352423279e+68,,5.528899903222891e-46,,,,,,,,,,,,,,
3,"$R_{x,z}$",,,1.8086780688814475e+45,,5.821146404559489e+21,2625337384047.691,,,,,,1e-160,,,,,,
4,"$R_{y,z}$",,,,1.717874677085491e-22,,,,,,,,,,,,,,
5,"$R_{x,y,z}$",,,,3.8090342448033123e-13,,,1e-160,,,,,,,,,,,
6,"$R_{x,y,z}HF_{x}$",,,,,,1e+160,,2.940397646599501e+52,1.9078427427906941e+18,1.288805908632599e-51,,,,,,,,
7,"$R_{x,y,z}HF_{y}$",,,,,,,3.4009005589991405e-53,,1.6854092049668054e-15,,,,,,,,,
8,"$R_{x,y,z}HF_{z}$",,,,,,,5.241522152592364e-19,593327719495690.9,,,,,,,,,,
9,"$R_{x,y,z}HF_{x,y}$",,,,,,,7.759120231385213e+50,,,,2.9046237679350186e+23,7.235440690281102e-31,,,,,,
10,"$R_{x,y,z}HF_{x,z}$",,,,,,,,,,3.442786673576416e-24,,,,,,,,
11,"$R_{x,y,z}HF_{x,y,z}$",,,,1e+160,,,,,,1.3820858228348623e+30,,,9.703467721434051e+16,,,,,
12,"$R_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,1.0305594130963034e-17,,1.4904535276775028e+24,1.1544291040749621e+23,29572408488779.613,,
13,"$R_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,6.709367192134119e-25,,3.501608653652367e-11,,,
14,"$R_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,8.662290273782508e-24,28558302737.713024,,,,
15,"$R_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,3.381530457282236e-14,,,,25.327802187989114,2.3004597684516802e+21
16,"$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,0.03948230456704283,,
17,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,4.3469571331519e-22,,
