ModelName,$R_{x}$,$R_{y}$,$R_{z}$,"$R_{x,y}$","$R_{x,z}$","$R_{y,z}$","$R_{x,y,z}$","$R_{x,y,z}HF_{x}$","$R_{x,y,z}HF_{y}$","$R_{x,y,z}HF_{z}$","$R_{x,y,z}HF_{x,y}$","$R_{x,y,z}HF_{x,z}$","$R_{x,y,z}HF_{y,z}$","$R_{x,y,z}HF_{x,y,z}$","$R_{x,y,z}HF_{x,y,z}T_{xy}$","$R_{x,y,z}HF_{x,y,z}T_{xz}$","$R_{x,y,z}HF_{x,y,z}T_{yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$"
"$R_{x,y,z}HF_{x,y}$",,,,,,,,3.505721195643629e+21,,,,5.325786764470979e+28,,2.8145799050720212e-21,,,,,,,
"$R_{x,y,z}HF_{x,z}$",,,,,,,,,,,1.877656850009713e-29,,,,,,,,,,
"$R_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,3.5529280877687905e+20,,,,,9.144646301140298,,,,5559.434640903237,
"$R_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,,0.1093536006827628,1030.877020089881,,461.7884345268165,,,1.7976452772499112e-07,
"$R_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,,40555279.71146836,0.002165493817584834,,,,,
"$R_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,,,,0.0009700478141542152,2.4657701959264666e-08,,,,
"$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,0.0001798744053293755,,5562832.738224242,,330490698235.0394,,,1050336.9133252588
"$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,,,,,3.02580376797418e-12,
"$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,,,,,9.52075460086519e-07,
$R_{x}$,,1.25912440793321e+78,1.579710669842706e-77,,,,,,,,,,,,,,,,,,
$R_{y}$,7.94202696492438e-79,,4.741390816395083e-120,,,,,,,,,,,,,,,,,,
$R_{z}$,6.330273125898246e+76,2.1090857909078837e+119,,,,1.1973597460881089e-46,,,,,,,,,,,,,,,
"$R_{x,z}$",,,,,,4.4246249115497754e-08,,,,,,,,,,,,,,,
"$R_{y,z}$",,,8.351708859990472e+45,,22600785.829091635,,2.218353263169307e-50,,,,,,,,,,,,,,
"$R_{x,y,z}$",,,,,,4.5078483062311027e+49,,8.892535136100289e-150,,,,,,,,,,,,,
"$R_{x,y,z}HF_{x}$",,,,,,,1.1245387110593274e+149,,3.8279378638202074e+67,2.721252087663718e+60,9.583928372848311e-23,,,,,,,,,,
"$R_{x,y,z}HF_{y}$",,,,,,,,2.6123726026263644e-68,,1320.206017860568,,,,,,,,,,,
"$R_{x,y,z}HF_{z}$",,,,,,,,3.674778990646662e-61,0.0007574575380443493,,,,,,,,,,,,
"$R_{x,y,z}HF_{x,y}$",,,,,,,,1.0434134742002496e+22,,,,6.185367690744215e+35,,1.163497929274488e-44,,,,,,,
"$R_{x,y,z}HF_{x,z}$",,,,,,,,,,,1.6167187627283665e-36,,,,,,,,,,
"$R_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,8.594772494554941e+43,,,,,6.474965943804141,,4.6674310789777736e+16,,,
"$R_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,,3721.678034722267,1.1147852986645721e-17,,,,,
"$R_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,,,,5.952661394347939e-06,0.0002686959996727997,,,,
"$R_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,,0.1544409667446814,167992.08517882464,,8.970337168941176e+16,1.560537408423156e+17,,,
"$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,,,1.551704219020713e-19,,,
"$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,2.1425061946903192e-17,,6.408048884970015e-18,,,,6.444527170462321e+18,9612716635391978.0
"$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,,,1.0402886488073649e-16,,,
$R_{x}$,,5.617618487279281e+23,1.2572943965866667e-41,,,,,,,,,,,,,,,,,,
$R_{y}$,1.7801137657611187e-24,,1.9513140358576697e-63,,,,,,,,,,,,,,,,,,
$R_{z}$,7.953586707415735e+40,5.1247517397191555e+62,,,,7.926913702316002e-13,,,,,,,,,,,,,,,
"$R_{x,z}$",,,,,,7.588315292457853e-27,,,,,,,,,,,,,,,
"$R_{y,z}$",,,1261525024181.644,,1.3178155644032291e+26,,9.665547703648772e-20,,,,,,,,,,,,,,
"$R_{x,y,z}$",,,,,,1.0346025188231156e+19,,9.823992802337413e-143,,,,,,,,,,,,,
"$R_{x,y,z}HF_{x}$",,,,,,,1.0179160552337447e+142,,5.307661766547012e+58,1.4540369401932365e+25,9.189669638282074e-68,,,,,,,,,,
"$R_{x,y,z}HF_{y}$",,,,,,,,1.8840688121891512e-59,,1.0431266771830191e-42,,,,,,,,,,,
"$R_{x,y,z}HF_{z}$",,,,,,,,6.877404365442762e-26,9.586563375989161e+41,,,,,,,,,,,,
"$R_{x,y,z}HF_{x,y}$",,,,,,,,1.0881783996175742e+67,,,,7.457414033316454e+30,,6.198751458786403e-13,,,,,,,
"$R_{x,y,z}HF_{x,z}$",,,,,,,,,,,1.3409474055382184e-31,,,,,,,,,,
"$R_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,1613228093832.594,,,,,3.1270310998727147e-13,,,,,
"$R_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,,,,5.836575901094793e-08,0.0003089653963684225,,,,
"$R_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,,3197921504652.4634,17133333.258159555,,132630961942.41443,,,1651936933.4730895,
"$R_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,,3236.608409077503,7.539717614610825e-12,,,,,
"$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,,,,,8.732836479423347e-20,
"$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,6.053499862719125e-10,,1.1451033147777808e+19,,,2792010659575.4033
"$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,,,,,3.5816482167445436e-13,
$R_{x}$,,3.144848722245384e-88,2.3227414781680804e-39,,,,,,,,,,,,,,,,,,
$R_{y}$,3.179803190297853e+87,,1.1224743425009684e-52,,,,,,,,,,,,,,,,,,
$R_{z}$,4.305257427049904e+38,8.908889603408794e+51,,,,3.735067502935307e-26,,,,,,,,,,,,,,,
"$R_{x,z}$",,,,,,1.8589931695807543e-47,,,,,,,,,,,,,,,
"$R_{y,z}$",,,2.6773277838061083e+25,,5.379255913164667e+46,,3.777382710144322e-71,,,,,,,,,,,,,,
"$R_{x,y,z}$",,,,,,2.6473356732280726e+70,,3.353099398707465e-158,,,,,,,,,,,,,
"$R_{x,y,z}HF_{x}$",,,,,,,2.982315407606093e+157,,1.5109523996875783e+59,6.92688159046081e+45,2.3059311414530296e-31,,,,,,,,,,
"$R_{x,y,z}HF_{y}$",,,,,,,,6.618342180777974e-60,,1.0614654247465183e-21,,,,,,,,,,,
"$R_{x,y,z}HF_{z}$",,,,,,,,1.4436510671369438e-46,9.420938041753018e+20,,,,,,,,,,,,
"$R_{x,y,z}HF_{x,y}$",,,,,,,,4.3366429379581253e+30,,,,701430568.9284225,,3.4086060629385e-12,,,,,,,
"$R_{x,y,z}HF_{x,z}$",,,,,,,,,,,1.4256578545296408e-09,,,,,,,,,,
"$R_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,293375057585.24567,,,,,,4.003188434454081e-14,,,,
"$R_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,24980088156563.91,523625691271.1423,4449921146950952.0,,,2.512378476075861e+25,,
"$R_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,,,,15.183139726591682,1.9097611455473506e-12,,,,
"$R_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,,,0.06586253028078273,,2.2472308316860657e-16,,,,
"$R_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,,3.9802920201812985e-26,,,417.8211087679315,15738555861069.486
"$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,,,,0.0023933687863420647,,
"$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,,,,6.353823113298318e-14,,
$R_{x}$,,1.3514278380780536e+52,5.864274700130233e-45,,,,,,,,,,,,,,,,,,
$R_{y}$,7.399581182389729e-53,,2.0937866976449744e-41,,,,,,,,,,,,,,,,,,
$R_{z}$,1.7052407179660121e+44,4.776035692292671e+40,,,,2.371016909998655e-42,,,,,,,,,,,,,,,
"$R_{x,z}$",,,,,,3.0490951094048566e-28,,,,,,,,,,,,,,,
"$R_{y,z}$",,,4.217599612145184e+41,,3.279661552424276e+27,,1.2433596849647597e-44,,,,,,,,,,,,,,
"$R_{x,y,z}$",,,,,,8.042724982098345e+43,,7.380759619285426e-102,,,,,,,,,,,,,
"$R_{x,y,z}HF_{x}$",,,,,,,1.3548740937004203e+101,,6.154468325748438e+52,8.90191931366905e+25,4.088138064246552e-51,,,,,,,,,,
"$R_{x,y,z}HF_{y}$",,,,,,,,1.624835724340804e-53,,4.708062457244873e-21,,,,,,,,,,,
"$R_{x,y,z}HF_{z}$",,,,,,,,1.123353250870835e-26,2.1240160025090094e+20,,,,,,,,,,,,
"$R_{x,y,z}HF_{x,y}$",,,,,,,,2.446101340719521e+50,,,,1.3617848132571605e+43,,8.305498975082996e-18,,,,,,,
"$R_{x,y,z}HF_{x,z}$",,,,,,,,,,,7.343304098157535e-44,,,,,,,,,,
"$R_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,1.2040215801603986e+17,,,,,1.2316484317148848e-08,,,,,
"$R_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,,182127.098824282,1.2530054509254596e-09,,,,,
"$R_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,,81192000.43210794,4.566254874315036e+20,,798081125.0752406,,,4.437825255658987e-09,
"$R_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,,,,2.189978499940842e-21,5.490671110754418e-06,,,,
"$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,225335596.24161154,,1.1682253670975671e+23,,,1.1962648886034345e+22
"$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,,,,,8.559992174151125e-24,
"$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,,,,,8.359352594285689e-23,
$R_{x}$,,1.4584794637941097e+48,2.9798003622265634e-62,,,,,,,,,,,,,,,,,,
$R_{y}$,6.856455814596014e-49,,1e-160,,,,,,,,,,,,,,,,,,
$R_{z}$,3.3559295202339695e+61,1e+160,,,841354.5330115658,,,,,,,,,1e-160,,,,,,,5.643427825869383e-125
"$R_{x,z}$",,,1.1885595914252398e-06,,,1.3753973335139809e+38,0.0003501037516216394,,,,,,,,,,,,,,
"$R_{y,z}$",,,,,7.270626281098829e-39,,,,,,,,,,,,,,,,
"$R_{x,y,z}$",,,,,2856.296156119772,,,1e-160,,,,,,,,,,,,,
"$R_{x,y,z}HF_{x}$",,,,,,,1e+160,,7.225923383889447e+75,6.221644702797284e+67,1.1324785892356335e-36,,,,,,,,,,
"$R_{x,y,z}HF_{y}$",,,,,,,,1.383906176239772e-76,,1.0325941389269784e-27,,,,,,,,,,,
"$R_{x,y,z}HF_{z}$",,,,,,,,1.6072920389529714e-68,9.684347046935124e+26,,,,,,,,,,,,
"$R_{x,y,z}HF_{x,y}$",,,,,,,,8.830189016420612e+35,,,,8.08723171813571e+30,,2.052741257740979e-45,,,,,,,
"$R_{x,y,z}HF_{x,z}$",,,,,,,,,,,1.2365170615273562e-31,,,,,,,,,,
"$R_{x,y,z}HF_{x,y,z}$",,,1e+160,,,,,,,,4.871534569829273e+44,,,,1.123264546237383e+28,,,,,,1.5375304394147218e+44
"$R_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,,8.902622301662737e-29,,437.34555461446524,4.890707090202926e+17,,5.1707286868795444e+20,,
"$R_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,,,0.002286521469005289,,6.452154331440575e+18,,,,
"$R_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,,2.0446941138699595e-18,1.549869932786821e-19,,,,,
"$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,,,,8.718760901155358e-16,,
"$R_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,1.93396339385868e-21,,,1146951970970423.0,,,83.00991988360703
"$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,1.771972692582363e+124,,,,,,,,,,,6.503936275763498e-45,,,,,0.012046752983283894,,
$R_{x}$,,4.0711646358100056e-06,1e-160,,,,,,,,,,,,,,,,,,
$R_{y}$,245629.95836719297,,1.4355604569540864e-123,,,,,,,,,,,,,,,,,,
$R_{z}$,1e+160,6.965920488794733e+122,,,3.672569715127323e-26,,,,,,,,,,,,,,,,
"$R_{x,z}$",,,2.722889087390221e+25,,,1.3855766110645803e+34,6.605306833259239e+48,,,,,,,1e-160,,1e-160,,,,,
"$R_{y,z}$",,,,,7.217211895859514e-35,,,,,,,,,,,,,,,,
"$R_{x,y,z}$",,,,,1.51393421266181e-49,,,1e-160,,,,,,,,,,,,,
"$R_{x,y,z}HF_{x}$",,,,,,,1e+160,,1.897163840820541e+79,3.856493440217474e+48,1.8695949779160206e-18,,,,,,,,,,
"$R_{x,y,z}HF_{y}$",,,,,,,,5.271026036251517e-80,,2.4841586317462347e-10,,,,,,,,,,,
"$R_{x,y,z}HF_{z}$",,,,,,,,2.5930291740457576e-49,4025507820.718566,,,,,,,,,,,,
"$R_{x,y,z}HF_{x,y}$",,,,,,,,5.348752065619415e+17,,,,1.6531080795852e+23,,2.9228980991003976e-49,,,,,,,
"$R_{x,y,z}HF_{x,z}$",,,,,,,,,,,6.049211254541332e-24,,,,,,,,,,
"$R_{x,y,z}HF_{x,y,z}$",,,,,1e+160,,,,,,3.421261932832272e+48,,,,,551793.2303682484,,,,,
"$R_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,1e+160,,,,,,,,,1.8122730489691461e-06,36.44673750206851,,3.007639213529724,,,66389607.478400216,
"$R_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,,4130.370686559552,0.3324866877322077,,,,,
"$R_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,,,,0.02743729805564204,0.0002421090202034538,,,,
"$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,,,,,0.02333577097640132,
"$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,1.506259846957747e-08,,42.85266602124551,,,32274228541657.82
"$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,,,,,3.098447415123353e-14,
$R_{x}$,,3.8585069021324716e+97,3.575385448167627e-57,,,,,,,,,,,,,,,,,,
$R_{y}$,2.5916760689149797e-98,,3.4374793912175238e-133,,,,,,,,,,,,,,,,,,
$R_{z}$,2.796901241829735e+56,2.909108350016345e+132,,,53902292619038.77,,,,,,,,,,,1.0553601543819754e-118,,,,,
"$R_{x,z}$",,,1.8552086588739847e-14,,,2.381353937761238e+58,3.144018644544028e+32,,,,,,,,,,,,,,
"$R_{y,z}$",,,,,4.199291773234354e-59,,,,,,,,,,,,,,,,
"$R_{x,y,z}$",,,,,3.180642715765537e-33,,,1.326131162643572e-137,,,,,,,,,,,,,
"$R_{x,y,z}HF_{x}$",,,,,,,7.540732230487317e+136,,1.0014228581614532e+72,2.5508962776922784e+56,6.687807062329108e-21,,,,,,,,,,
"$R_{x,y,z}HF_{y}$",,,,,,,,9.985791634873748e-73,,1.368010613152981e-13,,,,,,,,,,,
"$R_{x,y,z}HF_{z}$",,,,,,,,3.9201907531288214e-57,7309884809264.8,,,,,,,,,,,,
"$R_{x,y,z}HF_{x,y}$",,,,,,,,1.495258446722801e+20,,,,4.034555381792222e+28,,9.199072441279471e-35,,,,,,,
"$R_{x,y,z}HF_{x,z}$",,,,,,,,,,,2.4785878625262102e-29,,,,,,,,,,
"$R_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,1.087066121484867e+34,,,,,1.5981479478878032e-07,,,,,
"$R_{x,y,z}HF_{x,y,z}T_{xz}$",,,9.475438274297985e+117,,,,,,,,,,,6257242.9625283,54970359124397.086,,263764.01807712775,,,9.375886658246094e+27,
"$R_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,,8.531196981287823e-06,3.7912676918183285e-06,,,,,
"$R_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,,,,1.8191622101958897e-14,117216.84567750368,,,,
"$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,1.0665657942019806e-28,,20.673938032369456,,,1561280853.867997
"$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,,,,,0.04837007823252091,
"$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,,,,,6.404997521890753e-10,
$R_{x}$,,1.3313339251926474e+16,2.0619201388916787e-153,,,,,,,,,,,,,,,,,,
$R_{y}$,7.511263561133225e-17,,6.785114729587104e-156,,,,,,,,,,,,,,,,,,
$R_{z}$,4.849848358033493e+152,1.4738144303432483e+155,,,,1.21065751772533e-56,,,,,,,,,,,,,,,
"$R_{x,z}$",,,,,,9.910327098508127e-21,,,,,,,,,,,,,,,
"$R_{y,z}$",,,8.259974314444201e+55,,1.0090484300468118e+20,,1.4748228092190903e+63,,,,,,,1e-160,,,,,,,
"$R_{x,y,z}$",,,,,,6.780475551022254e-64,,8.195219166566502e-155,,,,,,,,,,,,,
"$R_{x,y,z}HF_{x}$",,,,,,,1.2202236202292605e+154,,68915.42200580944,7.350751695098502e+19,5.742212557099097e-24,,,,,,,,,,
"$R_{x,y,z}HF_{y}$",,,,,,,,1.4510540179463778e-05,,3461781927384.916,,,,,,,,,,,
"$R_{x,y,z}HF_{z}$",,,,,,,,1.3604050870971498e-20,2.888685714398583e-13,,,,,,,,,,,,
"$R_{x,y,z}HF_{x,y}$",,,,,,,,1.7414889993295354e+23,,,,186045.94416059644,,2.624796909910321e-56,,,,,,,
"$R_{x,y,z}HF_{x,z}$",,,,,,,,,,,5.375016394535274e-06,,,,,,,,,,
"$R_{x,y,z}HF_{x,y,z}$",,,,,,1e+160,,,,,3.8098185662454396e+55,,,,11686857.347002733,,,,,,
"$R_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,,8.556620229958268e-08,,56545850886.382355,3185392513.1551805,,4980451.523652827,,
"$R_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,,,1.7684763502972148e-11,,26058.714563147947,,,,
"$R_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,,3.1393305404911766e-10,3.837487829941516e-05,,,,,
"$R_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,2.0078500819672008e-07,,,49829275.9167156,,,18909005235682.043
"$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,,,,2.0068523605909805e-08,,
"$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,,,,5.288485499559545e-14,,
$R_{x}$,,1.1355517197892311e-23,4.90117503417251e-98,,,,,,,,,,,,,,,,,,
$R_{y}$,8.806291977485703e+22,,1.4345812117553297e-77,,,,,,,,,,,,,,,,,,
$R_{z}$,2.040327050202636e+97,6.970675426429269e+76,,,4.069926903711046e-30,,,,,,,,,,,,,,,,
"$R_{x,z}$",,,2.4570465850091278e+29,,,64397.27178887039,3.2442687050752416e-13,,,,,,,,,,,,,,
"$R_{y,z}$",,,,,1.552860815716773e-05,,,,,,,,,,,,,,,,
"$R_{x,y,z}$",,,,,3082358740617.349,,,1e-160,,,,,,,,,,,,,
"$R_{x,y,z}HF_{x}$",,,,,,,1e+160,,1.2214245980241078e+30,6.1668416765286705e+28,9.875666728244286e-41,,,,,,,,,,
"$R_{x,y,z}HF_{y}$",,,,,,,,8.18716113641149e-31,,3.4407595957333603e-18,,,,,,,,,,,
"$R_{x,y,z}HF_{z}$",,,,,,,,1.6215756013423427e-29,2.9063349884718144e+17,,,,,,,,,,,,
"$R_{x,y,z}HF_{x,y}$",,,,,,,,1.0125898610369385e+40,,,,6.381307745870611e+32,,8.806826060054566e-40,,,,,,,
"$R_{x,y,z}HF_{x,z}$",,,,,,,,,,,1.5670769062142584e-33,,,,,,,,,,
"$R_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,1.1354828552090242e+39,,,,,3.620129213732135e-13,,,,,
"$R_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,,352369407696.6561,0.12890915208399104,,,,,
"$R_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,,,,3.9200739261422385e-09,2.837930813962343e-12,,,,
"$R_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,,2762332339427.9077,255097230.0117065,,7.757401114146247,6.193938427233526e+18,,,18198883186732.5
"$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,,,1.8595447701838818e-09,,,
"$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,1.6144816609787357e-19,,,,537766025.3380803,17588.727777856002
"$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,5.49484267654967e-14,,5.685459531979272e-05,,,
$R_{x}$,,1.0882421337795234e+135,1.7188283129854174e+45,,49044161244154.555,,,,,,,,,3.0681142197627466e-159,,1.902372097706784e-159,,,,,7.051767975771138e-148
$R_{y}$,9.189131434627937e-136,,3.3081177309901783e-62,,,,,,,,,,,,,,,,,,
$R_{z}$,5.8179167310963654e-46,3.0228670238428375e+61,,,,,,,,,,,,,,,,,,,
"$R_{x,y}$",,,,,2.414005698800137e-34,,,,,,,,,,,,,,,,
"$R_{x,z}$",2.0389786972229795e-14,,,4.142492291948782e+33,,,1.2352555316807002e-08,,,,,,,,,,,,,,
"$R_{x,y,z}$",,,,,80954909.68086503,,,1.578562307429119e-109,,,,,,,,,,,,,
"$R_{x,y,z}HF_{x}$",,,,,,,6.334878232514127e+108,,1.0483942067266017e+46,2.0124193290554488e+20,1.047657803088808e-49,,,,,,,,,,
"$R_{x,y,z}HF_{y}$",,,,,,,,9.53839685095454e-47,,1.2228514894620344e-19,,,,,,,,,,,
"$R_{x,y,z}HF_{z}$",,,,,,,,4.969143287196317e-21,8.177607899385454e+18,,,,,,,,,,,,
"$R_{x,y,z}HF_{x,y}$",,,,,,,,9.545101435332238e+48,,,,3.131023178188132e+26,,1.7550932171832416e-14,,,,,,,
