ID,Name,$R_{x}$,$R_{y}$,$R_{z}$,"$R_{x,z}$","$R_{y,z}$","$R_{x,y,z}$","$R_{x,y,z}HF_{x}$","$R_{x,y,z}HF_{y}$","$R_{x,y,z}HF_{z}$","$R_{x,y,z}HF_{x,y}$","$R_{x,y,z}HF_{x,z}$","$R_{x,y,z}HF_{x,y,z}$","$R_{x,y,z}HF_{x,y,z}T_{xz}$","$R_{x,y,z}HF_{x,y,z}T_{yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy}$","$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$"
0,$R_{x}$,,4.210079115091292e+38,6.957261698098788e-115,,,,,,,,,,,,,,,
1,$R_{y}$,2.3752522759380872e-39,,1e-160,,,,,,,,,,,,,,,
2,$R_{z}$,1.437347110679005e+114,1e+160,,,8.265502920864993e+24,,,,,,,1.152407428808407e-97,3.310317664809865e-111,,,7.211017138006093e-88,,
3,"$R_{x,z}$",,,,,2.1853720849258763e-18,,,,,,,,,,,,,
4,"$R_{y,z}$",,,1.209847736519037e-25,4.575879809656844e+17,,7.778495846897107e-09,,,,,,,,,,,,
5,"$R_{x,y,z}$",,,,,128559559.54503807,,1.2789747538458162e-152,,,,,,,,,,,
6,"$R_{x,y,z}HF_{x}$",,,,,,7.81876262211625e+151,,5.105788509489382e+59,6.223752647068153e+50,1.4123079836625196e-34,,,,,,,,
7,"$R_{x,y,z}HF_{y}$",,,,,,,1.9585613429570112e-60,,7.742923941189685e-14,,,,,,,,,
8,"$R_{x,y,z}HF_{z}$",,,,,,,1.6067476596632963e-51,12915017732259.32,,,,,,,,,,
9,"$R_{x,y,z}HF_{x,y}$",,,,,,,7.080608561078252e+33,,,,3.2182599714554443e+25,8.413925557692081e-13,,,,,,
10,"$R_{x,y,z}HF_{x,z}$",,,,,,,,,,3.1072691729989554e-26,,,,,,,,
11,"$R_{x,y,z}HF_{x,y,z}$",,,8.677486581581683e+96,,,,,,,1188505880095.1616,,,160668.94212198726,,,0.029579050181692153,,
12,"$R_{x,y,z}HF_{x,y,z}T_{xz}$",,,3.020858120749077e+110,,,,,,,,,6.223978242420703e-06,,4506.2120686705375,817970.2223136672,0.00017015447662026303,,
13,"$R_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,0.00022191587629719097,,1.6909741921550102e-06,,,
14,"$R_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,1.2225383916439561e-06,591375.0810859986,,,,
15,"$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,1.386766916319531e+87,,,,,,,,,33.80771166948919,5877.012582112188,,,,3.1617132469352095e+24,175725355.21227655
16,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,3.162842174157776e-25,,
17,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,5.690698412827211e-09,,
