ID,Name,$R_{x}$,$R_{y}$,$R_{z}$,"$R_{x,z}$","$R_{y,z}$","$R_{x,y,z}$","$R_{x,y,z}HF_{x}$","$R_{x,y,z}HF_{y}$","$R_{x,y,z}HF_{z}$","$R_{x,y,z}HF_{x,y}$","$R_{x,y,z}HF_{x,z}$","$R_{x,y,z}HF_{x,y,z}$","$R_{x,y,z}HF_{x,y,z}T_{xz}$","$R_{x,y,z}HF_{x,y,z}T_{yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy}$","$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$"
0,$R_{x}$,,3.8585069021324716e+97,3.575385448167627e-57,,,,,,,,,,,,,,,
1,$R_{y}$,2.5916760689149797e-98,,3.4374793912175238e-133,,,,,,,,,,,,,,,
2,$R_{z}$,2.796901241829735e+56,2.909108350016345e+132,,53902292619038.77,,,,,,,,,1.0553601543819754e-118,,,,,
3,"$R_{x,z}$",,,1.8552086588739847e-14,,2.381353937761238e+58,3.144018644544028e+32,,,,,,,,,,,,
4,"$R_{y,z}$",,,,4.199291773234354e-59,,,,,,,,,,,,,,
5,"$R_{x,y,z}$",,,,3.180642715765537e-33,,,1.326131162643572e-137,,,,,,,,,,,
6,"$R_{x,y,z}HF_{x}$",,,,,,7.540732230487317e+136,,1.0014228581614532e+72,2.5508962776922784e+56,6.687807062329108e-21,,,,,,,,
7,"$R_{x,y,z}HF_{y}$",,,,,,,9.985791634873748e-73,,1.368010613152981e-13,,,,,,,,,
8,"$R_{x,y,z}HF_{z}$",,,,,,,3.9201907531288214e-57,7309884809264.8,,,,,,,,,,
9,"$R_{x,y,z}HF_{x,y}$",,,,,,,1.495258446722801e+20,,,,4.034555381792222e+28,9.199072441279471e-35,,,,,,
10,"$R_{x,y,z}HF_{x,z}$",,,,,,,,,,2.4785878625262102e-29,,,,,,,,
11,"$R_{x,y,z}HF_{x,y,z}$",,,,,,,,,,1.087066121484867e+34,,,1.5981479478878032e-07,,,,,
12,"$R_{x,y,z}HF_{x,y,z}T_{xz}$",,,9.475438274297985e+117,,,,,,,,,6257242.9625283,,263764.01807712775,54970359124397.086,9.375886658246094e+27,,
13,"$R_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,3.7912676918183285e-06,,8.531196981287823e-06,,,
14,"$R_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,1.8191622101958897e-14,117216.84567750368,,,,
15,"$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,1.0665657942019806e-28,,,,20.673938032369456,1561280853.867997
16,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,0.04837007823252091,,
17,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,6.404997521890753e-10,,
