ID,Name,$R_{x}$,$R_{y}$,$R_{z}$,"$R_{x,z}$","$R_{y,z}$","$R_{x,y,z}$","$R_{x,y,z}HF_{x}$","$R_{x,y,z}HF_{y}$","$R_{x,y,z}HF_{z}$","$R_{x,y,z}HF_{x,y}$","$R_{x,y,z}HF_{x,z}$","$R_{x,y,z}HF_{x,y,z}$","$R_{x,y,z}HF_{x,y,z}T_{yz}$","$R_{x,y,z}HF_{x,y,z}T_{xz}$","$R_{x,y,z}HF_{x,y,z}T_{xy}$","$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$"
0,$R_{x}$,,1.2974949045525221e-70,1.0752968562655224e-157,,,,,,,,,,,,,,,
1,$R_{y}$,7.707159361407113e+69,,1.1079963483125209e-100,,,,,,,,,,,,,,,
2,$R_{z}$,9.299757496483098e+156,9.025300503228198e+99,,160553596753500.84,,,,,,,,4.667710059424356e-149,,4.319864777335049e-152,,,,5.51701173168794e-105
3,"$R_{x,z}$",,,6.228449690450147e-15,,4.8211831263360435e+32,8.401627175421389e+42,,,,,,,,,,,,
4,"$R_{y,z}$",,,,2.0741796646085302e-33,,,,,,,,,,,,,,
5,"$R_{x,y,z}$",,,,1.1902456263775409e-43,,,1e-160,,,,,,,,,,,
6,"$R_{x,y,z}HF_{x}$",,,,,,1e+160,,7.550961485648738e+49,1.8939004174960013e+46,7.49633465274614e-09,,,,,,,,
7,"$R_{x,y,z}HF_{y}$",,,,,,,1.3243346584412958e-50,,0.0006541834072129212,,,,,,,,,
8,"$R_{x,y,z}HF_{z}$",,,,,,,5.280108662324171e-47,1528.6233019275032,,,,,,,,,,
9,"$R_{x,y,z}HF_{x,y}$",,,,,,,133398526.92324361,,,,1.8035282050823036e+37,1.7511067296927444e-29,,,,,,
10,"$R_{x,y,z}HF_{x,z}$",,,,,,,,,,5.544687336643927e-38,,,,,,,,
11,"$R_{x,y,z}HF_{x,y,z}$",,,2.1423781410350168e+148,,,,,,,5.710674187035211e+28,,,,452717754085.1744,,,,7.946502095327988e+23
12,"$R_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,2.1763330091413485e-11,1.5700315234138803e-05,,,
13,"$R_{x,y,z}HF_{x,y,z}T_{xz}$",,,2.3148872743579396e+151,,,,,,,,,2.208881783354712e-12,45948850465.42305,,4841412166229215.0,10433690320235.812,,2.2441917935667945e+24
14,"$R_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,63692.988649399704,2.065513047980917e-16,,,,
15,"$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,9.584336599108482e-14,,,196767894.7704971,8.487755826980717e-07
16,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,5.082129893021234e-09,,
17,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,1.8125754459725395e+104,,,,,,,,,1.2584153228726048e-24,,4.455947138148363e-25,,1178167.728177593,,
