ID,Name,$R_{x}$,$R_{y}$,$R_{z}$,"$R_{x,z}$","$R_{y,z}$","$R_{x,y,z}$","$R_{x,y,z}HF_{x}$","$R_{x,y,z}HF_{y}$","$R_{x,y,z}HF_{z}$","$R_{x,y,z}HF_{x,y}$","$R_{x,y,z}HF_{x,z}$","$R_{x,y,z}HF_{x,y,z}$","$R_{x,y,z}HF_{x,y,z}T_{xz}$","$R_{x,y,z}HF_{x,y,z}T_{yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy}$","$R_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$"
0,$R_{x}$,,1.1540834531860151e-23,6.388713501195245e-80,,,,,,,,,,,,,,,
1,$R_{y}$,8.664884651446607e+22,,2.3253295311240304e-83,,,,,,,,,,,,,,,
2,$R_{z}$,1.56526036081116e+79,4.3004657473928634e+82,,1.0484465186696108e-48,,,,,,,,,,,,,,
3,"$R_{x,z}$",,,9.537920935336928e+47,,233810915134.05505,10611.670727712268,,,,,,1e-160,,,1e-160,,,
4,"$R_{y,z}$",,,,4.2769602925793774e-12,,,,,,,,,,,,,,
5,"$R_{x,y,z}$",,,,9.423586781565982e-05,,,3.484430232985397e-93,,,,,,,,,,,
6,"$R_{x,y,z}HF_{x}$",,,,,,2.869909664235745e+92,,7.196291984087243e+46,1.0630591386679405e+19,9.010327509130142e-39,,,,,,,,
7,"$R_{x,y,z}HF_{y}$",,,,,,,1.3896045382972842e-47,,1.1337129932580432e-20,,,,,,,,,
8,"$R_{x,y,z}HF_{z}$",,,,,,,9.406814387137894e-20,8.820574571754873e+19,,,,,,,,,,
9,"$R_{x,y,z}HF_{x,y}$",,,,,,,1.1098375713720757e+38,,,,10982552676.569872,1.643126417297245e-36,,,,,,
10,"$R_{x,y,z}HF_{x,z}$",,,,,,,,,,9.105351273510352e-11,,,,,,,,
11,"$R_{x,y,z}HF_{x,y,z}$",,,,1e+160,,,,,,6.08595899544288e+35,,,,,337581.5530018718,,,
12,"$R_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,,8.041660386558385e-06,1.5143464783456522e-11,,,
13,"$R_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,124352.42871876279,,0.0007855772262382221,,,
14,"$R_{x,y,z}HF_{x,y,z}T_{xy}$",,,,1e+160,,,,,,,,2.962247169928907e-06,66035086045.33158,1272.9493251587148,,,11181249.564651776,
15,"$R_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,,0.49936325484957983,
16,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,8.943544227484056e-08,2.002550228292676,,354748706373867.7
17,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,,2.8188968191644526e-15,
