ID,Name,$R_{x}$,$R_{y}$,$R_{z}$,"$R_{x,z}$","$R_{y,z}$","$R_{x,y,z}$","$R_{x,y,z}HF_{x}$","$R_{x,y,z}HF_{y}$","$R_{x,y,z}HF_{z}$","$R_{x,y,z}HF_{x,y}$","$R_{x,y,z}HF_{x,z}$","$R_{x,y,z}HF_{x,y,z}$","$R_{x,y,z}HF_{x,y,z}T_{xz}$","$R_{x,y,z}HF_{x,y,z}T_{xy}$","$R_{x,y,z}HF_{x,y,z}T_{yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$"
0,$R_{x}$,,3.3435502360886235e+36,2.5916278372660188e-111,,,,,,,,,,,,,,,
1,$R_{y}$,2.9908328853758374e-37,,6.818386966159294e-114,,,,,,,,,,,,,,,
2,$R_{z}$,3.858578711112041e+110,1.4666225383850378e+113,,,15223326058560.045,,,,,,,1e-160,,,,,,
3,"$R_{x,z}$",,,,,3.3026607675952036e-29,,,,,,,,,,,,,
4,"$R_{y,z}$",,,6.568866725663424e-14,3.027861685982781e+28,,411336538095948.7,,,,,,,,,,,,
5,"$R_{x,y,z}$",,,,,2.431099373347522e-15,,1e-160,,,,,,,,,,,
6,"$R_{x,y,z}HF_{x}$",,,,,,1e+160,,4.623919010300899e+47,3.6410233280414176e+53,4.56472924709513e-41,,,,,,,,
7,"$R_{x,y,z}HF_{y}$",,,,,,,2.1626676370677295e-48,,1.043770430072462e-27,,,,,,,,,
8,"$R_{x,y,z}HF_{z}$",,,,,,,2.746480617958361e-54,9.580650794356923e+26,,,,,,,,,,
9,"$R_{x,y,z}HF_{x,y}$",,,,,,,2.1907104361915288e+40,,,,1.7225767634060222e+34,6.104232838083094e-24,,,,,,
10,"$R_{x,y,z}HF_{x,z}$",,,,,,,,,,5.805256527568135e-35,,,,,,,,
11,"$R_{x,y,z}HF_{x,y,z}$",,,1e+160,,,,,,,1.6382074971996465e+23,,,,35887752.53649321,,,,
12,"$R_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,,0.0005051783551408063,2.773176736762936e-10,,,
13,"$R_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,2.7864659370439234e-08,1979.4989033551806,,2813104736.566771,4972751138965140.0,,
14,"$R_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,3605972842.420698,3.5547912134279125e-10,,,,
15,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,2.0109592699386645e-16,,,16851615.51533844,229991.78122345282
16,"$R_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,5.934149156736896e-08,,
17,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,4.347981456904459e-06,,
