QID,ResampleThreshold,CorrectModel,ResamplerA,LogFile,ParamConfiguration,PHGPrefactor,NameNonAlph,ConfigLatex,FinalParams,Time,LatexName,NumExperiments,NameAlphabetical,NumParticles,NumBayesTimes
12,0.5,1,0.95,/panfs/panasas01/phys/bf16951/QMD/ParallelDevelopment/logs/timing_tests_12.qmd.7052647.log,config_p700_e100_b50_ra0.95_rt0.5_rp1.0,1.0,zTiPPxTiPPyTiPPxTxPPzTzPPyTy,$P_{700}E_{100}B_{50}RT_{0.95}RA_{0.5}RP_{1.0}$,"[[ 0.20557269  0.06829848]
 [ 0.22963674  0.05799905]
 [ 0.23853717  0.06157952]
 [ 0.23603281  0.05545906]
 [ 0.22696786  0.04998939]
 [ 0.21316446  0.05976376]]",782.5004177093506,"$R_{x,y,z}HF_{x,y,z}$",100,xTiPPxTxPPyTiPPyTyPPzTiPPzTz,700,50
4,0.5,0,0.95,/panfs/panasas01/phys/bf16951/QMD/ParallelDevelopment/logs/timing_tests_4.qmd.7052639.log,config_p700_e50_b25_ra0.95_rt0.5_rp1.0,1.0,zTiPPxTiPPyTiPPyTyPPxTxPPzTzPPyTz,$P_{700}E_{50}B_{25}RT_{0.95}RA_{0.5}RP_{1.0}$,"[[ 0.25584409  0.07151338]
 [ 0.23975039  0.0898984 ]
 [ 0.27190202  0.07389796]
 [ 0.21990954  0.07910071]
 [ 0.16908682  0.08968284]
 [ 0.2270236   0.07857194]
 [ 0.18648949  0.07533039]]",421.39084243774414,"$R_{x,y,z}HF_{x,y,z}T_{yz}$",50,xTiPPxTxPPyTiPPyTyPPyTzPPzTiPPzTz,700,25
51,0.5,0,0.95,/panfs/panasas01/phys/bf16951/QMD/ParallelDevelopment/logs/timing_tests_51.qmd.7052686.log,config_p500_e350_b175_ra0.95_rt0.5_rp1.0,1.0,xTiPPyTiPPzTiPPxTxPPzTzPPyTyPPxTz,$P_{500}E_{350}B_{175}RT_{0.95}RA_{0.5}RP_{1.0}$,"[[ 0.26445566  0.03156728]
 [ 0.21014113  0.0272776 ]
 [ 0.29260078  0.03535124]
 [ 0.1841064   0.0456981 ]
 [ 0.20779548  0.03974791]
 [ 0.24399228  0.04127689]
 [ 0.03891333  0.03947047]]",1899.334789276123,"$R_{x,y,z}HF_{x,y,z}T_{xz}$",350,xTiPPxTxPPxTzPPyTiPPyTyPPzTiPPzTz,500,175
2,0.5,0,0.95,/panfs/panasas01/phys/bf16951/QMD/ParallelDevelopment/logs/timing_tests_2.qmd.7052637.log,config_p300_e50_b25_ra0.95_rt0.5_rp1.0,1.0,yTiPPzTiPPxTiPPxTxPPyTyPPzTzPPyTzPPxTyPPxTz,$P_{300}E_{50}B_{25}RT_{0.95}RA_{0.5}RP_{1.0}$,"[[ 0.23988423  0.10762695]
 [ 0.19514024  0.09198827]
 [ 0.24731858  0.0859785 ]
 [ 0.22248449  0.09889114]
 [ 0.19795504  0.10160798]
 [ 0.21033842  0.07985466]
 [ 0.23368329  0.09971338]
 [ 0.19524974  0.09238062]
 [ 0.2379316   0.08741032]]",601.136848449707,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",50,xTiPPxTxPPxTyPPxTzPPyTiPPyTyPPyTzPPzTiPPzTz,300,25
3,0.5,0,0.95,/panfs/panasas01/phys/bf16951/QMD/ParallelDevelopment/logs/timing_tests_3.qmd.7052638.log,config_p500_e50_b25_ra0.95_rt0.5_rp1.0,1.0,yTiPPxTiPPzTiPPzTz,$P_{500}E_{50}B_{25}RT_{0.95}RA_{0.5}RP_{1.0}$,"[[ 0.13907214  0.07060934]
 [ 0.17920887  0.08339257]
 [ 0.32821533  0.08101252]
 [ 0.27010837  0.05932809]]",356.15903544425964,"$R_{x,y,z}HF_{z}$",50,xTiPPyTiPPzTiPPzTz,500,25
48,0.5,0,0.95,/panfs/panasas01/phys/bf16951/QMD/ParallelDevelopment/logs/timing_tests_48.qmd.7052683.log,config_p1500_e300_b150_ra0.95_rt0.5_rp1.0,1.0,yTiPPzTiPPxTiPPzTzPPxTxPPyTyPPxTzPPyTz,$P_{1500}E_{300}B_{150}RT_{0.95}RA_{0.5}RP_{1.0}$,"[[ 0.23021463  0.05823088]
 [ 0.21351611  0.08164184]
 [ 0.31102207  0.0623141 ]
 [ 0.19489976  0.08392655]
 [ 0.22253311  0.05793799]
 [ 0.2941633   0.06278385]
 [ 0.10449008  0.10111673]
 [ 0.09441315  0.07108534]]",4838.619983673096,"$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$",300,xTiPPxTxPPxTzPPyTiPPyTyPPyTzPPzTiPPzTz,1500,150
17,0.5,0,0.95,/panfs/panasas01/phys/bf16951/QMD/ParallelDevelopment/logs/timing_tests_17.qmd.7052652.log,config_p100_e150_b75_ra0.95_rt0.5_rp1.0,1.0,xTiPPyTiPPzTiPPxTxPPyTyPPzTzPPxTz,$P_{100}E_{150}B_{75}RT_{0.95}RA_{0.5}RP_{1.0}$,"[[ 0.27976869  0.04335973]
 [ 0.1671184   0.05914485]
 [ 0.22463415  0.05351541]
 [ 0.21675861  0.05545541]
 [ 0.25583788  0.05634947]
 [ 0.2387667   0.04785495]
 [ 0.11067724  0.03633491]]",310.4093668460846,"$R_{x,y,z}HF_{x,y,z}T_{xz}$",150,xTiPPxTxPPxTzPPyTiPPyTyPPzTiPPzTz,100,75
36,0.5,0,0.95,/panfs/panasas01/phys/bf16951/QMD/ParallelDevelopment/logs/timing_tests_36.qmd.7052671.log,config_p700_e250_b125_ra0.95_rt0.5_rp1.0,1.0,xTiPPyTiPPzTiPPxTxPPyTyPPzTzPPxTz,$P_{700}E_{250}B_{125}RT_{0.95}RA_{0.5}RP_{1.0}$,"[[ 0.19137685  0.07639911]
 [ 0.18293116  0.04536038]
 [ 0.34923711  0.06828323]
 [ 0.16321231  0.05681246]
 [ 0.20496557  0.05636679]
 [ 0.331836    0.05487483]
 [ 0.1916219   0.05976639]]",1773.1274688243866,"$R_{x,y,z}HF_{x,y,z}T_{xz}$",250,xTiPPxTxPPxTzPPyTiPPyTyPPzTiPPzTz,700,125
24,0.5,0,0.95,/panfs/panasas01/phys/bf16951/QMD/ParallelDevelopment/logs/timing_tests_24.qmd.7052659.log,config_p1500_e150_b75_ra0.95_rt0.5_rp1.0,1.0,zTiPPyTiPPxTiPPyTyPPzTzPPxTxPPyTz,$P_{1500}E_{150}B_{75}RT_{0.95}RA_{0.5}RP_{1.0}$,"[[ 0.24054423  0.06894401]
 [ 0.17894712  0.08022678]
 [ 0.24112575  0.08392866]
 [ 0.20975628  0.07552918]
 [ 0.22011086  0.07422621]
 [ 0.27733348  0.07213164]
 [ 0.21142793  0.08511738]]",2589.2993433475494,"$R_{x,y,z}HF_{x,y,z}T_{yz}$",150,xTiPPxTxPPyTiPPyTyPPyTzPPzTiPPzTz,1500,75
35,0.5,1,0.95,/panfs/panasas01/phys/bf16951/QMD/ParallelDevelopment/logs/timing_tests_35.qmd.7052670.log,config_p500_e250_b125_ra0.95_rt0.5_rp1.0,1.0,zTiPPyTiPPxTiPPyTyPPzTzPPxTx,$P_{500}E_{250}B_{125}RT_{0.95}RA_{0.5}RP_{1.0}$,"[[ 0.27223241  0.04639836]
 [ 0.20806449  0.0503711 ]
 [ 0.23663871  0.05929778]
 [ 0.2269693   0.0504396 ]
 [ 0.27303755  0.05000948]
 [ 0.23928972  0.04976548]]",1508.180510520935,"$R_{x,y,z}HF_{x,y,z}$",250,xTiPPxTxPPyTiPPyTyPPzTiPPzTz,500,125
39,0.5,0,0.95,/panfs/panasas01/phys/bf16951/QMD/ParallelDevelopment/logs/timing_tests_39.qmd.7052674.log,config_p1300_e250_b125_ra0.95_rt0.5_rp1.0,1.0,zTiPPxTiPPyTiPPxTxPPyTy,$P_{1300}E_{250}B_{125}RT_{0.95}RA_{0.5}RP_{1.0}$,"[[ 0.26074014  0.04878892]
 [ 0.2415743   0.05699919]
 [ 0.301759    0.03994186]
 [ 0.31486207  0.03460213]
 [ 0.21737712  0.03563957]]",4009.781235218048,"$R_{x,y,z}HF_{x,y}$",250,xTiPPxTxPPyTiPPyTyPPzTi,1300,125
21,0.5,0,0.95,/panfs/panasas01/phys/bf16951/QMD/ParallelDevelopment/logs/timing_tests_21.qmd.7052656.log,config_p900_e150_b75_ra0.95_rt0.5_rp1.0,1.0,xTiPPyTiPPzTiPPzTzPPxTxPPyTyPPxTzPPyTzPPxTy,$P_{900}E_{150}B_{75}RT_{0.95}RA_{0.5}RP_{1.0}$,"[[ 0.25050282  0.0843677 ]
 [ 0.13344789  0.07647889]
 [ 0.26342582  0.07957358]
 [ 0.11366299  0.06448954]
 [ 0.22164159  0.08213491]
 [ 0.17311511  0.0786362 ]
 [ 0.23991352  0.07959407]
 [ 0.17174043  0.07795461]
 [ 0.20338632  0.10053048]]",1658.7396612167358,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",150,xTiPPxTxPPxTyPPxTzPPyTiPPyTyPPyTzPPzTiPPzTz,900,75
56,0.5,1,0.95,/panfs/panasas01/phys/bf16951/QMD/ParallelDevelopment/logs/timing_tests_56.qmd.7052691.log,config_p1500_e350_b175_ra0.95_rt0.5_rp1.0,1.0,zTiPPxTiPPyTiPPzTzPPxTxPPyTy,$P_{1500}E_{350}B_{175}RT_{0.95}RA_{0.5}RP_{1.0}$,"[[ 0.33389474  0.02850448]
 [ 0.22930229  0.03171905]
 [ 0.20516903  0.02471911]
 [ 0.26696559  0.01543511]
 [ 0.22281044  0.02969479]
 [ 0.23188013  0.02713501]]",5271.657431364059,"$R_{x,y,z}HF_{x,y,z}$",350,xTiPPxTxPPyTiPPyTyPPzTiPPzTz,1500,175
22,0.5,1,0.95,/panfs/panasas01/phys/bf16951/QMD/ParallelDevelopment/logs/timing_tests_22.qmd.7052657.log,config_p1100_e150_b75_ra0.95_rt0.5_rp1.0,1.0,xTiPPzTiPPyTiPPxTxPPyTyPPzTz,$P_{1100}E_{150}B_{75}RT_{0.95}RA_{0.5}RP_{1.0}$,"[[ 0.23355677  0.07101613]
 [ 0.26061739  0.05532952]
 [ 0.25247645  0.05315258]
 [ 0.17699762  0.07935555]
 [ 0.19386719  0.08050084]
 [ 0.28396044  0.07028207]]",1824.4416842460632,"$R_{x,y,z}HF_{x,y,z}$",150,xTiPPxTxPPyTiPPyTyPPzTiPPzTz,1100,75
5,0.5,0,0.95,/panfs/panasas01/phys/bf16951/QMD/ParallelDevelopment/logs/timing_tests_5.qmd.7052640.log,config_p900_e50_b25_ra0.95_rt0.5_rp1.0,1.0,zTiPPxTiPPyTiPPzTzPPxTxPPyTyPPxTzPPyTz,$P_{900}E_{50}B_{25}RT_{0.95}RA_{0.5}RP_{1.0}$,"[[ 0.22717757  0.09178031]
 [ 0.16924628  0.09791945]
 [ 0.27280929  0.08479642]
 [ 0.19967918  0.09271572]
 [ 0.18359929  0.08808788]
 [ 0.30298957  0.08504935]
 [ 0.23719894  0.09159877]
 [ 0.18546189  0.08849973]]",561.0204787254333,"$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$",50,xTiPPxTxPPxTzPPyTiPPyTyPPyTzPPzTiPPzTz,900,25
41,0.5,1,0.95,/panfs/panasas01/phys/bf16951/QMD/ParallelDevelopment/logs/timing_tests_41.qmd.7052676.log,config_p100_e300_b150_ra0.95_rt0.5_rp1.0,1.0,yTiPPzTiPPxTiPPyTyPPxTxPPzTz,$P_{100}E_{300}B_{150}RT_{0.95}RA_{0.5}RP_{1.0}$,"[[ 0.11570599  0.05500665]
 [ 0.2851982   0.02981618]
 [ 0.26253489  0.03666472]
 [ 0.23797278  0.02399044]
 [ 0.23950055  0.02447021]
 [ 0.26374205  0.01453157]]",438.41724705696106,"$R_{x,y,z}HF_{x,y,z}$",300,xTiPPxTxPPyTiPPyTyPPzTiPPzTz,100,150
