ModelName,$S_{x}$,$S_{y}$,$S_{z}$,"$S_{y,z}$","$S_{x,z}$","$S_{x,y,z}$","$S_{x,y,z}HF_{y}$","$S_{x,y,z}HF_{z}$","$S_{x,y,z}HF_{x}$","$S_{x,y,z}HF_{x,y}$","$S_{x,y,z}HF_{x,z}$","$S_{x,y,z}HF_{x,y,z}$","$S_{x,y,z}HF_{x,y,z}T_{xz}$","$S_{x,y,z}HF_{x,y,z}T_{yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy}$","$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$S_{x,y,z}HF_{y,z}$","$S_{x,y}$"
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,1.892365676821744e-15,,,63389024180544.516,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,5.694266244987266e+97,,,,6.852608183178384e+39,,,1.155353262497783e-12,1.4633281795293905e-39,,,,,,,,
$S_{x}$,,1.9485849669635812e-56,5.396445593559985e-85,,,,,,,,,,,,,,,,,,
$S_{y}$,5.131929153483457e+55,,2.755047317669598e+39,1e-160,,,,,,,,,,,,,,,,,
$S_{z}$,1.853071586959722e+84,3.629701724491129e-40,,,,,,,,,,,,,,,,,,,
"$S_{x,y}$",,,,4.962880716529899e-121,,,,,,,,,,,,,,,,,
"$S_{y,z}$",,1e+160,,,,,,,1.3889624625389942e-38,,,1.4734174215203512e-99,,,1.8514736536115266e-118,,,,1.803713682871681e-114,,2.0149587651165853e+120
"$S_{x,y,z}$",,,,,,,,,3.806642402285685e-81,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,,1113989171689374.6,2.159035557534892e-10,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,8.976747938074576e-16,,8.882760484721403e-21,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,7.199618614401004e+37,,2.6269869725602635e+80,4631697687.933234,1.1257761612733204e+20,,,,1.2473466153565391e-68,,,1.0263355986563336e-62,,,,1.3537306843684913e-49,,
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,8.529581978883633e-16,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,,1172390396710721.0,1.0182028582597716e-54,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,6.786942962627293e+98,,,,,8.017017785502724e+67,9.821225622064326e+53,,,,,445321451.4133314,,,,49.232048279831595,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,,1.0903322772718027e-32,1.1027081024124969e-26,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,9.171516067580523e+31,,3.4248012570525574e-19,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,5.40110305134171e+117,,,,,9.743401683710359e+61,,,2.2455688959655256e-09,9.06858304398242e+25,2.9198774613292954e+18,,,,,903.0291931211362,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,5.54411717056948e+113,,,,,7.386993672722246e+48,,,0.020311972281065137,,,0.0011073839114145402,,4.1964840045822424e+20,2.260377417915064e+25,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,,,,2.382947245618179e-21,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,,,,4.424039950471564e-26,,
$S_{x}$,,2.2226800095463573e-98,7.201494758673715e-133,,,,,,,,,,,,,,,,,,
$S_{y}$,4.499073171599258e+97,,5.741562039396084e-27,,,,,,,,,,,,,,,,,,
$S_{z}$,1.3886006079440208e+132,1.741686309646117e+26,,4.040823974410026e-107,,,,,,,,,,,,,,,,,
"$S_{y,z}$",,,2.4747427909081424e+106,,3.75020811146629e+35,,,6.578387995365243e-91,,,,4.202219803735214e-124,1.1434187653864585e-143,,,,,2.550295379052956e-80,,,
"$S_{x,z}$",,,,2.6665186845031144e-36,,,,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,,1.274866142786403e-38,,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,,0.8774645362145375,8.46735448481751e-05,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,11810.064191750349,6.05407723752031e-13,,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,1.5201292485401333e+90,,7.84396076135771e+37,1.13964719795297,,1651779388942.1704,,,9.484749939105593e-39,6.396231710087096e-67,,,,,1.8399673139331373e-23,,,
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,,,3.100292703034764e-30,,,,,,,,1.204055719580781e+26,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,,8.305263483555167e-27,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,2.379694653552232e+123,,,,1.0543240532647079e+38,,,3.225501898646977e+29,,3.0130319359082635e-32,,,,,36541434.61187792,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,7.067958653666401e-12,,7649698851.764512,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,8.745702189538712e+142,,,,1.5634205346609984e+66,,,,3.318916032991051e+31,,141483566755.34094,1.8835490315556e+38,,,1.4522179067792667e+39,1095724592.031441,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,5.309126458864266e-39,1.3072410030485525e-10,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,,,,1.6390190955691576e-36,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,9.126380910608473e-10,,,6.101210185429505e+35,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,3.9211144254645e+79,,,,5.4348791547953504e+22,,,,2.7366194311236662e-08,6.886018932363966e-40,,,,,,,,
$S_{x}$,,6.856937797810623e-130,1.9098171708965087e+120,,,,,,,,,,,,,,,,,,
$S_{y}$,1.4583769453462064e+129,,1e+160,2.542043841462806e-26,,,,,,,,,,,,,,,,,
$S_{z}$,5.2361033047502595e-121,1e-160,,,,,,,,,,,,,,,,,,,
"$S_{x,y}$",,,,1.7483382813415542e-125,,,,,,,,,,,,,,,,,
"$S_{y,z}$",,3.933842460500426e+25,,,,,,,1.5573998604906553e-82,,,1.0316270070093928e-158,1.9770424709902667e-157,,,,,4.767486379478462e-144,,,5.719716891588446e+124
"$S_{x,y,z}$",,,,,,,,,1.3133379834126794e-118,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,6.420958582113602e+81,,7.614186238652158e+117,2.0283370835285452e+23,227983331.68417954,,,,2.640072161851102e-52,1.359299351068269e-53,,,,,3.065719926166881e-31,,,
"$S_{x,y,z}HF_{z}$",,,,,,,5.909598284731695e+19,,4.386285578918018e-09,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,,1.692162397203284e-20,4.930147006238112e-24,,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,,6.786174897973168e+31,2.48578213459769e-34,,,,,,,,,
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,1.4735841840720472e-32,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,9.693425949548596e+157,,,,,3.787775252699321e+51,4.0228786991497325e+33,,,14.84639878948058,,,,,55390876385704.46,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,5.824342040727971e-30,9.224922635835265e-27,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,9.604742112497867e-23,,1.0840199310890542e+26,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,5.058060282838118e+156,,,,,7.356731239620642e+52,,,0.06735640165536644,,1.0411523685771653e+22,1.7169321324319276e+29,,,1.3659560720774686e+26,2.3659713669872583e+23,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,4.226593837749455e-24,,,1.3935345111302595,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,,,,0.7175997379418513,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,2.097541388486137e+143,,,,,3.261876570865741e+30,,,1.8053514680588892e-14,7.320879642045225e-27,,,,,,,,
$S_{x}$,,3.6016383333610304e-69,1.1193792028512298e-14,,,,,,,,,,,,,,,,,,
$S_{y}$,2.7765142067077154e+68,,1.422914249248363e+87,1.6566775408241343e-93,,,,,,,,,,,,,,,,,
$S_{z}$,89335231300782.38,7.027830387728831e-88,,,,,,,,,,,,,,,,,,,
"$S_{x,y}$",,,,9.525606594898626e-47,,,,,,,,,,,,,,,,,
"$S_{y,z}$",,6.036177683090566e+92,,,,,8.337986817817554e-115,,,,,4.111055450915548e-153,,,2.2237098369139516e-151,,,7.863662860032628e-99,,,1.049801910290462e+46
"$S_{x,y,z}$",,,,,,,1.6108216079772277e-117,,,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,3.0025644392320057e-15,1.2404920954820302,,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,4.4708997807113094e-29,,0.8061316985751692,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,1.1993302722224108e+114,,6.208012079349615e+116,,2.2366862355409414e+28,333048639001326.3,,,2.742228787673626e-43,,,1.8924569640905395e-47,,,6.058931103986642e-28,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,,,1.2894405966809786e-60,,,,,,,,960165663.3198813,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,1.0414869414746483e-09,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,2.4324653654995e+152,,,3.646668740752122e+42,,,7.755301039644642e+59,,,,,2526840809632800.5,,,1.533071710496752e+21,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,4.496989595494135e+150,,,5.284136014583408e+46,,,,,3.9575108815237143e-16,187552.88385011992,7238.127578296444,,,1.1841001652778106e+28,3.772327417291414e+16,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,,1.7716026481317105e-08,5.33182950574695e-06,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,56446065.998748414,,0.00013815727744265026,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,8.445231487366464e-29,,,,1.808428759628679e+17,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,,5.5296621151132765e-18,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,1.2716720156996288e+98,,,1.6504561330001296e+27,,,,,6.522852082868166e-22,,,2.6508833655749172e-17,,,,,,
$S_{x}$,,3.192755995965598e-93,9.494647265941392e-155,,,,,,,,,,,,,,,,,,
$S_{y}$,3.132090273304979e+92,,2.0301903967094994e-101,,,,,,,,,,,,,,,,,,
$S_{z}$,1.0532250140425309e+154,4.925646390706922e+100,,5.861668050939086e-13,,,,,,,,,,,,,,,,,
"$S_{y,z}$",,,1705999028450.2585,,5.586903303909442e+30,,,5.250370916671139e-63,,,,1.4437535142170606e-139,2.716675185295601e-118,,,,,7.615567789975352e-96,,,
"$S_{x,z}$",,,,1.7899003179458086e-31,,,,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,,9.044572231709268e-53,,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,,8.400509006400403e-16,6.797821883657193e-10,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,1471059432.1456466,1.7382822070692229e-15,,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,1.9046273413270087e+62,,1.1056354843340306e+52,1190404056751910.5,,575280582136325.9,,,6.0150162642178506e-49,5.099575764001966e-68,,,,,3.020354246589764e-09,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,,0.7178008745241853,,,,,,,,,,
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,,,1.0475046379996659e-52,,,,,,,,1.3931440257200556,
"$S_{x,y,z}HF_{x,y,z}$",,,,6.926390066951937e+138,,,,1.6625058953685684e+48,,,9.546497110596268e+51,,0.8005393243728126,,,,,8.634907977242529e+33,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,3.6809700527050314e+117,,,,1.96094743225314e+67,,,,1.2491578733917363,,1.2882558886000112e+24,1078398.5502033953,12469170580.259169,,1.373180308927109e+28,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,7.762432982834893e-25,,1.8443643186702433e-43,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,9.27300949923747e-07,5.4219222844268844e+42,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,8.019779612151358e-11,,,,,,2.8532666648820036e+16,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,3.504754786182436e-17,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,1.3130997288427217e+95,,,,331086991.2458397,,,,1.1580899329043458e-34,7.282364839482139e-29,,,,,,,,
$S_{x}$,,2.834716721695143e-65,1.3546458300193927e-49,,,,,,,,,,,,,,,,,,
$S_{y}$,3.5276893537425715e+64,,1547251.4480309123,3.332036059530368e-115,,,,,,,,,,,,,,,,,
$S_{z}$,7.382003309202114e+48,6.463073608834788e-07,,,,,,,,,,,,,,,,,,,
"$S_{x,y}$",,,,3.8671828407468365e-154,,,,,,,,,,,,,,,,,
"$S_{y,z}$",,3.0011680009877935e+114,,,,,,,1.1952368875225442e-64,,,2.881107227001508e-118,,,,,,1.9370217514507776e-29,7.614253636219683e-117,,2.5858617013486707e+153
"$S_{x,y,z}$",,,,,,,,,6.3992672493581365e-59,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,,2770876104.0815363,2.6835338855055045e-20,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,8.366542318425044e+63,,1.5626789146840253e+58,3.726429561412552e+19,481033613281.61774,,,,2.6943999161271468e-50,,,,,,502784.0886640822,2.480636717113019e-36,,
"$S_{x,y,z}HF_{z}$",,,,,,,3.608966848163969e-10,,2.0788568041596648e-12,,,,,,,,,,,,
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,2.0328238772870406e-14,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,,49192653194067.0,5.23305697360302e-54,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,3.4708878261387825e+117,,,,,3.7114015407088173e+49,1.9109289370329336e+53,,,,,,,,2.8674261711547973e+71,3.884091803131017e+19,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,2.243374978172955e-50,,5.095975956500218e-73,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,7737.451215572867,1.962332649400437e+72,,,,,2.600494653008092e-07,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,,4.4575695535947274e+49,0.00012924152568320418,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,,,,0.21713916584658077,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,1.3133263584012668e+116,,,,,4.0312230851916376e+35,,,2.5746044395600718e-20,,,3845422.2501217667,,4.6053414458934965,1.5209576795122446e+53,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,5.1625646395092195e+28,,,,,1.9889253111749036e-06,,,3.487448116570933e-72,,,,,,,6.574804897403127e-54,,
$S_{x}$,,0.0018913630256878176,2.1752280791164017e-115,,,,,,,,,,,,,,,,,,
$S_{y}$,528.7192286294894,,4.0228297165304226e-131,,,,,,,,,,,,,,,,,,
$S_{z}$,4.597219066821763e+114,2.4858124018793216e+130,,8.884627780378028e-88,,,,,,,,,,,,,,,,,
"$S_{y,z}$",,,1.1255395551950197e+87,,6.364972189606403e+32,,9.088339282968114e-55,,,,,2.537171823541914e-91,,,1.9819547034926995e-104,,,8.129916265279821e-38,,,
"$S_{x,z}$",,,,1.5710987734289502e-33,,,,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,2.996254122608378e-57,,,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,1.1003110346837922e+54,,3.3375006227090435e+56,,3.6323716127446157e+22,190.8167537630233,,,1.4427140636177407e-52,,,2.2519618222332557e-56,,,99403037806.94016,,,
"$S_{x,y,z}HF_{z}$",,,,,,,2.753022285746808e-23,,7.598419416355176e-28,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,0.005240629977606197,1.316063177359696e+27,,,,,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,2.5409792175358474e-19,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,,,1.5680711980847465e-70,,,,,,,,3.9354906687106437e+18,
"$S_{x,y,z}HF_{x,y,z}$",,,,3.941396442768276e+90,,,6.931380411530794e+51,,,6.377261448468713e+69,,,,,6.645399939855898,,,4.801096300385781e+43,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,5.045523988200891e+103,,,4.4405726159616087e+55,,,,,0.150480032661764,3.661280010073978e+18,2.016988052928754e+20,,,,1.239664931248403e+34,1.8166759731634492e+28,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,2.7246032391193324,,4.957887571758081e-21,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,,0.36702591615622826,2.731285226064407e-19,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,,,,3.9463880507891354e-08,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,5.504558956976024e-29,,25339626.694846597,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,1.2300249687326654e+37,,,1.0060054723299228e-11,,,,,2.0828576171647447e-44,,,8.066695885257892e-35,,,,,,
$S_{x}$,,1.2259290522642808e-41,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,8.157078895821975e+40,,3.9207145184169285e-106,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,2.5505555053872455e+105,,,637417785605.395,,5.578320872031194e-76,,,,,1.1355983539855265e-107,3.5878704402479036e-127,,,5.436025370705116e-106,,,,,
"$S_{y,z}$",,,,,0.040741884656015664,,,,,,,,,,,,,,,,
"$S_{x,z}$",,,1.568829773160845e-12,24.544765379486364,,,,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,7.847894796972796e-46,,,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,1.7926541390149133e+75,,,1.2742270709155461e+45,,1287976.5698487577,131.71668835614364,,,7.130660478168901e-68,1.2252486281665985e-83,,,5.699499730839273e-54,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,7.764116393184282e-07,,6.652494893301821e-05,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,0.0075920524003468635,15031.95441768572,,,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,,,3.029060637122627e-42,,,,,,,,8.610608274669535e+28,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,1.1613581388225199e-29,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,8.805930340514964e+106,,,,1.4023946351976533e+67,,,3.301353521103237e+41,,,0.005198472585139733,,,9.417069744553566e-11,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,0.0002906023489643221,2.977277566970625e+25,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,2.787168646844743e+126,,,,8.16160881156301e+82,,,,,192.36419614072474,,9.299220617153864e+38,3441.1284133246018,24775438022.882957,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,1.07535893723754e-39,,3.35877316610926e-26,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,2.10426006060056e-32,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,1.8395793466841165e+105,,,,1.7545399547773052e+53,,,,,10619014482.486525,4.036255581339815e-11,,,,,2747050.472756416,4.75226431715193e+31,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,3.640268025350807e-07,,,,,
$S_{x}$,,1.2381777565282604e-127,86200672873.53119,,,,,,,,,,,,,,,,,,
$S_{y}$,8.076384789885989e+126,,4.115292722899781e+131,1.6346858593073792e-46,,,,,,,,,,,,,,,,,
$S_{z}$,1.160083751860202e-11,2.4299608006872584e-132,,,,,,,,,,,,,,,,,,,
"$S_{x,y}$",,,,1e-160,,,,,,,,,,,,,,,,,
"$S_{y,z}$",,6.1173833143923e+45,,,,,1.38955192271857e-82,,,,,1.8920979689359694e-145,1.6567094855995728e-146,,,,,3.180184756463336e-87,,,1e+160
"$S_{x,y,z}$",,,,,,,1.437394204026279e-84,,,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,1.705120599045143e-14,,9.973938632963521e-23,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,0.00014748010742942158,1.0026129463991635e+22,,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,7.196564472693928e+81,,6.95703375732909e+83,,58646878148090.75,6780.575478483173,,,1.375447663112698e-65,2.8865356250383064e-50,,,,,6.90397596188861e-36,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,,,6.176860137508704e-37,,,,,,,,11171374354.599224,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,8.951450092515276e-11,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,5.285138594395062e+144,,,7.270360238476515e+64,,,1.6189455123446058e+36,,,0.5774961240646028,,,,,1.4381072758081008e+50,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,6.036061293136703e+145,,,3.464360499575436e+49,,,,,1.7316133534571272,,6.2041884510046164e+41,1248102138250219.2,8.313163988304721e+18,,7.981667547420865e+33,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,1.6118143539596617e-42,,4.8808871536633165e-39,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,8.012164784862504e-16,2.0488078673350536e+38,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,5.6413551664012285e-25,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,1.2029114322859966e-19,,,,,,1.772623723384406e+24,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,3.144471395781715e+86,,,1.4484407325868587e+35,,,,,6.953584178468747e-51,1.2528710248313115e-34,,,,,,,,
$S_{x}$,,1.017254562045437e-76,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,9.830381079729517e+75,,4.179095198122531e-143,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,2.3928624560867923e+142,,3.156415925333162e-25,,,,,,,,,,,,,,,,,
"$S_{y,z}$",,,3.168150280747457e+24,,89872299311.57462,,,,1.3150975192833067e-84,,,1e-160,,3.7802820290263793e-137,,,,2.833500722950465e-100,,,
"$S_{x,z}$",,,,1.1126899029623585e-11,,,,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,,,2.155040880595343e-57,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,2336320202492227.5,,1.93125103440983e-09,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,7.603998831546527e+83,,4.640283202997727e+56,9343471898150.885,517799075.4089561,,,,1.979376425745642e-86,,1.2612066962783423e-54,,,,8.105932051686963e-31,,,
"$S_{x,y,z}HF_{y}$",,,,,,,,4.2802352131923867e-16,1.070265968475706e-13,,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,,6.975168142783546e+36,9.293828130174483e-50,,,,,,,,,
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,1.4336571958263002e-37,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,1e+160,,,,,5.0520961399411155e+85,1.075982884548163e+49,,,,1.3858661830813358e+24,,,,3.7863518479240955e+31,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,2.6453052770180545e+136,,,,,7.928914451143263e+53,,,7.2157038840257965e-25,2433846136423798.5,,7.731246368081292e+18,7.558687355365039e+26,,1.4945551349988079e+41,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,116012051.87450826,1.293452507384234e-19,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,,4.1087231646835417e-16,8.619794097614212e-09,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,1.3229810322690692e-27,,,1.4756459177530158e+16,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,6.776693432816948e-17,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,3.52920326400595e+99,,,,,1.233664424551752e+30,,,2.641064645242253e-32,,6.69095422833496e-42,,,,,,,
$S_{x}$,,1e-160,2.862056085600893e-152,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,2.5611718902862202e+61,1.795069594526646e-95,,,,,,,,,,,,,,,,,
$S_{z}$,3.493991627316585e+151,3.90446265552386e-62,,,,,,,,,,,,,,,,,,,
"$S_{x,y}$",,,,1e-160,,,,,,,,,,,,,,,,,
"$S_{y,z}$",,5.570814652808471e+94,,,,,,3.7122184728456964e-45,,,,1.4870118077501974e-75,,7.342981128620904e-105,,,,6.824664891524417e-71,,,1e+160
"$S_{x,y,z}$",,,,,,,,7.52236156574319e-40,,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,182.87937577773826,5.399921039126527e-11,,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,,5.881981786272798e-21,0.005468085155842538,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,2.6938069709928045e+44,,1.3293697614243866e+39,1.700107270535539e+20,,18518789307.36655,,,2.7797469584922234e-34,,1.1456237425027198e-63,,,,1729380974.656511,,,
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,,,,,,,,,,,1.0205242265567365e-21,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,,9.798885454919717e+20,4.988965656239692e-38,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,6.724896162815068e+74,,,,3.597449749679428e+33,,,,,,1.704411293250138e-16,,,,2.823499933989758e+47,,2.0044234995871369e+37,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,1.0491099428221114e-06,1.3314564666104935e-26,,,,,,,
