,ChampLatex,Epoch,InstanceID,RunIdx,Volume
48,"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",8.0,2.0,1.0,203.72447927371496
49,"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",9.0,2.0,1.0,84.16298273267964
50,"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",0.0,3.0,1.0,341.3366763231767
51,"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",1.0,3.0,1.0,327.7409299369497
52,"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",2.0,3.0,1.0,241.5502436239069
53,"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",3.0,3.0,1.0,199.4197391622843
54,"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",4.0,3.0,1.0,157.21915037148128
55,"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",5.0,3.0,1.0,166.18916375582086
56,"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",6.0,3.0,1.0,100.22068738007967
57,"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",7.0,3.0,1.0,90.44016325518929
58,"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",8.0,3.0,1.0,76.73339861264093
59,"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",9.0,3.0,1.0,65.80994193989962
60,"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",0.0,4.0,1.0,430.8867874380281
61,"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",1.0,4.0,1.0,387.088911014972
62,"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",2.0,4.0,1.0,339.29388552664267
63,"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",3.0,4.0,1.0,264.9597770716939
64,"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",4.0,4.0,1.0,370.0352430955271
65,"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",5.0,4.0,1.0,350.5006779194085
66,"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",6.0,4.0,1.0,171.66497943119185
67,"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",7.0,4.0,1.0,165.28912908358112
68,"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",8.0,4.0,1.0,176.1055688400647
69,"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",9.0,4.0,1.0,150.55435301957365
70,"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",0.0,5.0,1.0,90.72560695123727
71,"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",1.0,5.0,1.0,90.57919625561175
72,"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",2.0,5.0,1.0,86.0100837576189
73,"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",3.0,5.0,1.0,80.67524391804233
74,"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",4.0,5.0,1.0,73.24106226918086
75,"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",5.0,5.0,1.0,65.1140454552003
76,"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",6.0,5.0,1.0,56.15967937673018
77,"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",7.0,5.0,1.0,44.89255378707606
78,"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",8.0,5.0,1.0,38.87413419736453
79,"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",9.0,5.0,1.0,32.05460274496607
80,"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",0.0,6.0,1.0,80.7048390961189
81,"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",1.0,6.0,1.0,85.69578061300214
82,"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",2.0,6.0,1.0,82.86526992890792
83,"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",3.0,6.0,1.0,77.31845152728822
84,"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",4.0,6.0,1.0,71.86703347342244
85,"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",5.0,6.0,1.0,74.03195190492087
86,"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",6.0,6.0,1.0,52.229510128939815
87,"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",7.0,6.0,1.0,30.058833599871633
88,"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",8.0,6.0,1.0,24.343883327466752
