ModelName,$S_{x}$,$S_{y}$,$S_{z}$,"$S_{x,z}$","$S_{y,z}$","$S_{x,y,z}$","$S_{x,y,z}HF_{x}$","$S_{x,y,z}HF_{z}$","$S_{x,y,z}HF_{y}$","$S_{x,y,z}HF_{x,y}$","$S_{x,y,z}HF_{y,z}$","$S_{x,y,z}HF_{x,y,z}$","$S_{x,y,z}HF_{x,y,z}T_{yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy}$","$S_{x,y,z}HF_{x,y,z}T_{xz}$","$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$S_{x,y}$","$S_{x,y,z}HF_{x,z}$"
"$S_{x,y,z}$",,,,,,,,,5.9003607344026266e-83,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,1.31308852641637e+52,,5.771679093120463e-16,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,2.465470079556041e+37,,1.6948116310404597e+82,8.595805444772848e+82,1732598060054911.0,,,,1630361564957.7915,,0.0016050846099371972,,,,6948087675504473.0,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,7.615632761099214e-53,1.1633581127736031e-83,,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,,4.194389358372103e-05,,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,23841.37271386062,,3.400441878305769e-08,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,2.341887396691941e+35,,,,,6.133608774234622e-13,,29407942.725909445,,,3.349038365679804e-12,,,,1397044422.6195984,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,3.118458038374392e-08,1.6226076838747116e-19,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,0.07054681092616097,32067130.21930819,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,6.311558420021391e+58,,,,,623.0201160791937,,,298593175356.776,14.174985188865119,,6.162919169789991e+18,,655103057375.4929,1.744877594510074e+20,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,,0.6462231903886838,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,1.526477382056879e-12,,,,,1.547452977350643,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,1.4787696723916367e+52,,,,,1.4392449357331888e-16,,,7.157968521322317e-10,,5.731061039160052e-21,,,,,,,
$S_{x}$,,9.999999999999997e-161,9.999999999999997e-161,,,,,,,,,,,,,,,,,,
$S_{y}$,1.0000000000000003e+160,,2.1875368278235853e+33,,,,,,,,,,,,,,,,,8.806182147845219e-61,
$S_{z}$,1.0000000000000003e+160,4.5713516100888476e-34,,,,,,,,,,,,,,,,,,,
"$S_{y,z}$",,,,,,,,,,,,,,,,,,,,8.53095345040365e-32,
"$S_{x,y}$",,1.1355658822531735e+60,,,1.172201918359646e+31,,,,5.977936215706643e-128,,,1.7102468974440512e-98,,9.482360764980684e-100,,,,2.8005793980774283e-83,,,
"$S_{x,y,z}$",,,,,,,,,2.6050081681186905e-80,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,2.361398888601258e-46,2.8991820361489902e-98,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,4.234777973459352e+45,,1.212207471657325e-20,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,3.838759556451562e+79,3.4492487450988394e+97,8.249412937810092e+19,,,,185038826393.9965,,81272567.56756987,,,,5.6804802344230556e+28,,1.6728181163468498e+127,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,127858075.24504986,,1.5788207196826865e-09,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,,7.821172015012919e-09,,,,,,,,,,
