ModelName,$S_{x}$,$S_{y}$,$S_{z}$,"$S_{x,z}$","$S_{y,z}$","$S_{x,y,z}$","$S_{x,y,z}HF_{x}$","$S_{x,y,z}HF_{z}$","$S_{x,y,z}HF_{y}$","$S_{x,y,z}HF_{x,y}$","$S_{x,y,z}HF_{y,z}$","$S_{x,y,z}HF_{x,y,z}$","$S_{x,y,z}HF_{x,y,z}T_{yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy}$","$S_{x,y,z}HF_{x,y,z}T_{xz}$","$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$S_{x,y}$","$S_{x,y,z}HF_{x,z}$"
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,8.178712635115486e+52,,,,,0.2623527731044593,5.423457638736652e-09,,,,,,8643388.1945591,,,,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,1.8088874823848838e-13,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,5528259826761.442,,1.800178540319541e-157,,,,,,,,,,,,,,,,,
"$S_{x,z}$",,,5.555004559839353e+156,,1.830430863399983e+69,,,,1.3040171860992413e-47,,4.109231459064887e-28,,,,,,1.0710581993916032e-22,1.1185082900501408e-08,,,
"$S_{y,z}$",,,,5.463194595301585e-70,,,,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,,,3.318571520622573e-55,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,1.2683158101510253e-68,2.443103431470897e-77,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,7.884471611852923e+67,,1.0011124623279835e-22,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,7.668610587804751e+46,,3.0133447291574336e+54,4.093154580025043e+76,9.988887738692248e+21,,,15.787687472423595,,,,,,8.524325730146794,7581.2722548416705,,,
"$S_{x,y,z}HF_{y,z}$",,,,2.4335450800514508e+27,,,,,0.0633404988378889,11.924688309518576,,413542850653.75275,,,,,2.2761567341469062,0.00037989509968485916,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,,0.08385963423478128,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,2.4181290969464024e-12,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,1.0340157658638498,,4.431762033203557e-08,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,0.9671032425357345,0.00014104954194910015,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,7089.707532413434,22564388.442064814,,,8.621608025419449e-13,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,9.336560800972658e+21,,,,,0.11731133131896163,,0.43933705662619743,,,,1159876437262.8145,,,5.6826652793349096e-08,1155820244648.5518,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,,8.651864376229785e-13,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,89404791.08609663,,,,,0.00013190398212666277,,2632.3056044406653,,,,,,17597376.42187925,,,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,0.019341154820716595,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,51.70322089190276,,5.893228621818885e-136,,,,,,,,,,,,,,,,,
"$S_{x,z}$",,,1.696862728687692e+135,,2.466484051476794e+31,,,,4.381945817443217e-26,,3.8243932359621016e-28,2.8872044954225257e-28,,,,,,1.124746270532026e-31,2.230907160385979e-28,,
"$S_{y,z}$",,,,4.054354210809737e-32,,,,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,,,3.5924672324228794e-100,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,1.3772179370103711e-45,4.145907850852107e-64,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,7.261014928187574e+44,,1.3863736023841124e-15,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,2.282091202541343e+25,,2.783602285846228e+99,2.412016947734307e+63,721306290223879.6,,,8.384029220670028e+28,5237420.169199692,,,,,,5920780433785.75,443326.37445643847,,
"$S_{x,y,z}HF_{y,z}$",,,,2.614793872650573e+27,,,,,1.1927439345447352e-29,2849.1555268512793,,0.15673410963908968,,,,,,1.833550042911525e-08,1.496381080776692e-07,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,,0.0003509811909443714,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,3.463557921115164e+27,,,,,1.9093369783100785e-07,,6.380232116051137,,,,1197210.4203805216,,,15.627597214647334,9.23094607856213,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,1.0099996718809902e+32,9.520868256649666e-06,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,9.900993315548637e-33,,4.896890611806075e-50,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,8.352750552255968e-07,105032.4374882059,2.0421121876585665e+49,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,,,,2.1986222403273077e-06,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,4.482481466539314e+27,,,,,2.2556745044237394e-06,,6682789.650621305,0.10833125786774894,,,,454830.2940168251,,0.0008044338165350605,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,8.890894117185926e+30,,,,,1.688966532678192e-13,,54539007.7498012,0.06398936357680926,,,,,,,1243.1103459912988,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,2.8203152127912673e+62,,1.3777578948947934e-102,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,3.545702960664101e-63,,,,,,,,,,,,,,,,,,,
"$S_{x,y}$",,,,,2.4732923191747195e-17,,,,,,,,,,,,,,,,
"$S_{y,z}$",,7.258169259675052e+101,,,,,,,2.1326113231399486e-85,3.3060335776515285e-79,,,,,,,,6.250020148122528e-61,2.6053269702299775e-72,4.043193731073717e+16,
"$S_{x,y,z}$",,,,,,,,,2.8128465154876596e-31,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,3.1533169468294157e+49,,1.4937542218941112e-07,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,3.1712638369748273e-50,7.397984629114132e-68,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,4.689086985281738e+84,3.5551175454969015e+30,1.3517194886626095e+67,6694541.748186521,,880.2944747777346,,,,,,,,481002184.37541103,1991.0563664159586,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,8.818087372922173e-10,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,3.0247726664360114e+78,,,,0.001135983501716843,,1134032764.3732748,9167560.312171707,,,,,,7.035641341471017e+28,1760531.7223946315,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,,1.0908027500755101e-07,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,6.746674661759373e-08,,708584665875.6208,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,14822116.822500283,280220352048.4606,,,,2.695591477010586e-10,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,3.5686201686987484e-12,1.4112639577999727e-12,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,,,,7.970411208744959e-05,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,3.8382898247574966e+71,,,,0.0005022459518813474,5.680102137778153e-07,,,3709760950.5317225,,,,12546.404116550751,1175.832458649491,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,1.5999948420972603e+60,,,,2.0789926376291116e-09,1.4213345329381435e-29,,,,,,,,,0.0008504612988389143,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,4.526849727760314e+43,,5.986813080656531e-79,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,2.209041740147968e-44,,,,,,,,,,,,,,,,,,,
"$S_{x,y}$",,,,,7.278160298861885e-51,,,,,,,,,,,,,,,,
"$S_{y,z}$",,1.6703377682376834e+78,,,,,,,6.599110232320825e-85,,2.152357410504248e-83,,,8.922217484879586e-91,,,,1.0396478445800273e-74,,1.373973585270407e+50,
"$S_{x,y,z}$",,,,,,,,,5.608873989671141e-15,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,4.656711991650231e-68,5.826581718594042e-58,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,1.515355805245145e+84,178288904660992.72,1.7162721614437438e+57,5629.651266117244,,,8.828556692946666e-09,,,1.7899404298288345e-05,,,,22.264142716549788,,,
"$S_{x,y,z}HF_{z}$",,,,,,,2.1474379385992975e+67,,0.00017763089625437802,,,,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,4.6460685159428186e+82,,,,113268797.4693443,1.7161462090305513,,41634690.5740374,,2073772.4246453089,,,,6.136774086956786e-08,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,,0.5827009346510742,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,2.4018432374842264e-08,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,1.1207976063066074e+90,,,,55867.78103535135,,4.822129892922251e-07,,1912367338.8024294,,1624797584590.7488,,,4.318314870097935e-28,8097875.30871459,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,5.229120889641548e-10,7.242518420996938,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,0.13807351833595327,6.154612792902928e-13,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,1.234891822702978e-07,,,6.371307437401644e+24,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,,,,1.5695365665917722e-25,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,9.618641593047852e+73,,,,0.044915270833970254,,16295206.338545503,,,2.315718121724924e+27,,,,,,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,2.598087659424251e+84,,1e-160,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,3.848984834567148e-85,,,,,,,,,,,,,,,,,,,
"$S_{x,y}$",,,,,7.977394289192852e-109,,,,,,,,,,,,,,,,
"$S_{y,z}$",,1e+160,,,,,,,3.444189542914654e-15,2.7912528081171847e-15,,,,,2.580876351353065e-10,0.0005656578619197363,,,,1.253542151419946e+108,
"$S_{x,y,z}$",,,,,,,,,2.0312900277823568e-62,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,290344067171677.06,4.922979910907855e+61,1.3911115511037014e+49,281186340.0237577,,56904485771848.305,,,,,0.15499429650206403,0.0209602335271917,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,4.627968861994846e+44,,3.556360525605579e-09,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,2.1607751258053165e-45,7.18849612891651e-50,,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,358262066800943.5,,,,1.7573307032584034e-14,,2.9474084289813585e+28,1.0607984019473144e+20,,,4.665621881997346e-20,5337461.899461909,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,3.392811088436786e-29,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,,9.42686186333137e-21,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,3874652884.768131,,,,6.4518503104188945,2.1433369983507997e+19,,,2.8600271519959156e+16,6.655535130903017e+39,,2.0088288583201467e-06,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,9.326636644428576e-08,,1.5025087845405465e-40,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,10721978.759592472,3.4964703020463773e-17,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,1767.853091630669,,,,47.70939210685323,1.8735496736769474e-07,,,,,497802.4861890102,,,742566148.2799242,229.875344241301,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,0.004350183806360269,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,1.3466813728533062e-09,,,,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,4.342590832472777e+143,,4.6823660403384644e-126,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,2.3027727883600205e-144,,,,,,,,,,,,,,,,,,,
"$S_{y,z}$",,2.1356724172886645e+125,,,,,,1.0223709623773241e-68,,,,2.8948299918629223e-87,1.1437170792332164e-63,,,,,3.74555308767581e-50,,8.512511561439259e+17,
"$S_{x,y}$",,,,,1.1747414294623576e-18,,,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,,6.536027160915807e-38,,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,6.1150433596125205e+81,3.3913395232140833e-16,,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,9.593612505620236e-69,1.6353113807902173e-82,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,9.781185467892156e+67,1.5299814021272875e+37,1.0423602156269799e+68,,2948687364255016.5,,,1656895449.8090115,793605468.688324,,,,,39961456588.00152,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,,,1.2711525794701535e-06,,,,,,,,,4.297378820449106e+25
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,,2.3269998801164404e-26,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,3.454434294279457e+86,,,6.035383826512825e-10,,,786687.6220452022,,2.7724340458922864e+17,,,,,1147208920.5078,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,1.4622065068691138e-16,,2.653774591850628e-14,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,0.00015933106216172623,37682175534834.82,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,8.743421062404972e+62,,,1.2600719620201285e-09,,,,3.606938825043024e-18,,6838979277565975.0,6276.240090491378,186585475763550.66,,2659493552.3111277,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,5.3594739671336695e-15,,,,3.552896570121476e+21,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,2.814604873132598e-22,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,2.6698326698141124e+49,,,2.5024112867303525e-11,,,,8.716808090695114e-10,3.760114398965132e-10,,,,,,,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,1e-160,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,1e+160,,,1.1925708587464714e-113,,,,,,,,,,,,,,,,
"$S_{x,z}$",,,,,6.200834466946931e-12,,,,,,,,,,,,,,,,
"$S_{y,z}$",,,8.385245980696817e+112,161268617204.73636,,,,,1.2348711603003175e-28,3.048242343647411e-40,,,,,2.955395496248208e-22,,,0.01976008300450912,,,
"$S_{x,y,z}$",,,,,,,,,1.9400041594947734e-66,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,4.39997874868989e+66,,5.9077554926493574e-15,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,2.2727382496966687e-67,2.9952326748594784e-74,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,8.098010805894945e+27,5.154628123376939e+65,3.338638792216418e+73,169269022938446.94,,0.0019747481069938445,,,,,4.080799726708134e-11,,,1.7027184815326157e+19,,,
"$S_{x,y,z}HF_{x,y}$",,,,,3.2805790592208555e+39,,,,506.39369976269944,,454760187851.7457,432744.9007474936,,,31274045.816309568,,,1.32841640365973e+29,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,2.198961181549176e-12,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,,2.3108302334069543e-06,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,2.7738660462725532e-12,2.233568098448967e-27,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,3.383641889112547e+21,,,,24505000660.904076,3.197539601603113e-08,,,4.4771413089863674e+26,19562310853109.68,,1217045.7352055204,,113.09889915860116,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,360507675323.3175,,5.111870512174369e-14,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,8.216618086510378e-07,,,,5009885821361.959,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,1.9960534743846631e-13,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,50.60707486764132,,,,5.872961448682349e-20,7.52776010025955e-30,,,,,0.008841819040145362,,,,,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,1.7366715558932291e-13,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,5758141178777.273,,5.620280229669438e-75,,,,,,,,,,,,,,,,,
"$S_{x,z}$",,,1.7792707109531723e+74,,1.5187315048619185e+18,,,1.0399576773187971e-73,,,,5.201303563717417e-92,,,,1.323306422450488e-93,,3.474479613422207e-56,,,
"$S_{y,z}$",,,,6.584442324391756e-19,,,,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,,1.958192152225755e-26,,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,3.83341913653461e-76,1.6207960446413759e-46,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,9.615775928287626e+72,,5.1067511370799965e+25,2.6086372618883374e+75,,4219.551273890319,,,1.1407996415702025e-09,,,,169.9109216327215,,7.501173263600199e+20,,,
"$S_{x,y,z}HF_{y}$",,,,,,,6.169807751605564e+45,0.00023699202476523657,,,,,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,,,1.0015698010719467e-28,,,,,,,,,2.1974818815842085e+33
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,,4.5506632313121964e-34,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,1.9225949567252164e+91,,,,876578115.5256982,,,9.984326593410998e+27,,,,,5.433149104711178e+18,,4.1983410305189696e+27,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,0.0007558067654614907,1.5842109212886022e-17,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,1323.089506071577,,0.06062167330703348,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,6.312290785033831e+16,16.495750536862488,,9.618265322243682e-15,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,2.5133480888824582e-21,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,7.556828736221262e+92,,,,0.005885436853562564,,,,1.840553205383012e-19,,,103968851606468.98,,,738300440173.7095,3.97875648193499e+20,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,2.878128845933981e+55,,,,1.3331247857619125e-21,,,,2.3818932114630693e-28,,,,1.354462147909213e-12,,,,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,2.379449567799877e+28,,4.151462099374386e-91,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,4.20265263669629e-29,,,,,,,,,,,,,,,,,,,
"$S_{y,z}$",,2.4087899059723974e+90,,,,,,,1.1864060889469015e-83,4.286972266084701e-91,,,,,,,6.949029342402497e-86,4.4740940143261525e-62,,3.8105626258498396e+58,
"$S_{x,y}$",,,,,2.6242843857656794e-59,,,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,,,2.2265563318521117e-55,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,6.790870062135264e+78,,5.7138088801661054e-11,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,8.428817158951346e+82,4.491240512060937e+54,9.848582934038761e+83,17501460426.357998,,6.044799649723627,,,,,,,18296965.028799288,4673.343398392262,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,1.472565357384512e-79,1.015374502806684e-84,,,,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,2.1749706435786773e-10,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,2.3326486338884147e+90,,,,0.16543145479531662,,4597763206.378772,5.265123759452841e+30,,,,,13225158.923519839,2.6282614493098914e-16,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,,1.8992905878131179e-31,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,2938650.0890679364,,17123629112411.213,,1.191817728847838e-11,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,3.402923007812659e-07,308020028714117.06,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,3.24654212966174e-15,5.839883551759479e-14,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,,4.2290056619916495e-25,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,1.4390499028376079e+85,,,,5.4653872837708736e-08,7.561345809021499e-08,,,,83905447602.85843,,,,2.7018461891208858e-08,2.3646220410332819e+24,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,2.235089376302726e+61,,,,0.0002139795676782543,3804796513918249.0,,,,,,,37011729.38809575,,,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,2.42838980910437e+27,,2.0476369350441867e-130,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,4.1179550179747145e-28,,,,,,,,,,,,,,,,,,,
"$S_{y,z}$",,4.883678267790284e+129,,,,,,,6.1693595531699966e-77,,6.1757597425208905e-61,,,,3.791381811878622e-52,,,,4.889834735797776e-61,9.241868605444315e+16,
"$S_{x,y}$",,,,,1.0820322628379584e-17,,,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,,,1.8983976952544216e-77,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,1.6209137940196253e+76,5.267600158279695e+76,1e+160,115314675898.18439,,,1.1180835634388495,,,,16982345.523386437,,,,288842135.7056075,,
"$S_{x,y,z}HF_{z}$",,,,,,,1e+160,,8.6719230853403e-12,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,1e-160,1e-160,,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,,3.532344917050327e-07,,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,1.6192339755623472e+60,,,,0.8943875330072252,2830980.6190587035,,5.094573693329206e+19,,,0.001586804887599517,,,,0.0037159289352239762,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,1.9628727744372254e-20,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,2.6375607881721152e+51,,,,5.888468107205198e-08,,630.1972018203055,,4.929212497063957,153.97374732583896,,,,,2285187.623591929,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,2.8694741178811633e-19,0.20287216276345185,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,3.4849591211451873e+18,,0.006494613642699764,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,2.0450588905983754e+60,,,,3.462098760477301e-09,,269.1117126920312,,,,4.3760082965448975e-07,189.94391917709797,,1834914082013.4424,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,,,,0.005264711838801379,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,,,,5.449846452225735e-13,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,1.4556787268678224e+92,,,,,,,,,,,,,,,,,1.3637147711011658e-102,
$S_{z}$,1e+160,6.869647687657672e-93,,,,,,,,,,,,,,,,,,,
"$S_{x,y}$",,7.332911699654942e+101,,,3212696379332.148,,,,1.6586452627707163e-82,,1.7616693654730002e-75,,,,,,,1.594756990408545e-62,2.549210016997773e-69,,
"$S_{y,z}$",,,,,,,,,,,,,,,,,,,,3.1126501913880795e-13,
"$S_{x,y,z}$",,,,,,,,,2.701309185145395e-73,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,1.480976803621105e-81,1.0300211380448933e-123,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,3.7019087096695154e+72,9.70853862182016e+122,60193.902704452,,,1.1851403380728034,,,,,,,136992502319.1522,82.66695861888724,6.029016706860698e+81,
"$S_{x,y,z}HF_{z}$",,,,,,,6.752300222089374e+80,,1.661297830961273e-05,,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,,9.526899709233327e-05,,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,0.8437819284981335,10496.594175656275,,13348009367.029007,,,,,,9.009737860803595e-10,0.053303786969128186,5.676434066454374e+74,
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,7.491753807650942e-11,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,43.71583781577639,,99020959.906319,,,,1.8587034681928094e-07,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,0.02287500480293014,2785801302.708047,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,3.5896314608938944e-10,1.0098872005947755e-08,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,0.012096731471762724,,18.760393151412813,,,5380094.335178088,,,2264021.074197935,53.07776179465412,,3.922783895136693e+68,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,,,,4.4169200163221347e-07,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,7.299669566370095e-12,,1109910205.4349983,,,,,,,,0.018840281997360292,6.270547839039852e+61,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,4.795126661055197e+78,,1e-160,,,,,,,,,,,,,,,,
